,user_score,meta_score,title,console,release_date
1727,8.4,65,Cel Damage,XBOX,2001
1728,8.4,75,Alice: Madness Returns,PC,2011
1729,8.4,79,Ys Seven,PSP,2010
1730,8.4,75,Dragon Ball Z: The Legacy of Goku II,GBA,2003
1731,8.4,75,Buffy the Vampire Slayer: Chaos Bleeds,GC,2003
1732,8.4,72,Naruto: Clash of Ninja Revolution 2,WII,2008
1733,8.4,77,Rune Factory 3: A Fantasy Harvest Moon,DS,2010
1734,8.4,73,Polarium,DS,2005
1735,8.4,82,College Hoops 2K6,XBOX,2005
1736,8.4,79,Hunter: The Reckoning,XBOX,2002
1737,8.4,59,True Crime: New York City,GC,2005
1738,8.4,71,Resident Evil Outbreak,PS2,2004
1739,8.4,79,Transformers: Fall of Cybertron,X360,2012
1740,8.4,79,Stella Glow,3DS,2015
1741,8.4,78,Wild Arms 3,PS2,2002
1742,8.4,84,Tony Hawk's American Sk8land,DS,2005
1743,8.4,84,The Warriors,PS2,2005
1744,8.4,76,Max & the Magic Marker,WII,2010
1745,8.4,76,NHL Slapshot,WII,2010
1746,8.4,76,Disney/Pixar Toy Story 3,X360,2010
1747,8.4,76,Deathsmiles,X360,2010
1748,8.4,79,Tales From The Borderlands: Episode 4 - Escape Plan Bravo,PC,2015
1749,8.4,76,Green Day: Rock Band,WII,2010
1750,8.4,83,Nintendogs: Chihuahua & Friends,DS,2005
1751,8.4,82,Rome: Total War Barbarian Invasion,PC,2005
1752,8.4,82,Sonic Rush,DS,2005
1753,8.4,75,I-Ninja,XBOX,2003
1754,8.4,79,Little Nightmares: Complete Edition,Switch,2018
1755,8.4,75,Double Dragon Advance,GBA,2003
1756,8.4,79,Archangel: Hellfire,PC,2018
1757,8.4,64,lilt line,WII,2010
1758,8.4,77,FIFA World Cup: Germany 2006,XBOX,2006
1759,8.4,78,Doki Doki Literature Club!,PC,2017
1760,8.4,80,Max Payne,PS2,2001
1761,8.4,66,Planet Minigolf,PS3,2010
1762,8.4,78,Lost Odyssey,X360,2008
1763,8.4,70,Hell Yeah! Wrath of the Dead Rabbit,X360,2012
1764,8.4,77,Final Fantasy III,DS,2006
1765,8.4,67,NIER,X360,2010
1766,8.4,68,Lead and Gold: Gangs of the Wild West,PS3,2010
1767,8.4,71,Spectrobes: Origins,WII,2009
1768,8.4,75,Dengeki Bunko: Fighting Climax,VITA,2015
1769,8.4,71,CellFactor: Psychokinetic Wars,PS3,2009
1770,8.4,56,Teenage Mutant Ninja Turtles,XBOX,2003
1771,8.4,76,Sayonara UmiharaKawase +,VITA,2015
1772,8.4,73,Pump It Up: Exceed,PS2,2005
1773,8.4,76,Atelier Ayesha Plus: The Alchemist of Dusk,VITA,2015
1774,8.4,53,HSX HyperSonic.Xtreme,PS2,2003
1775,8.4,80,Naruto Shippuden: Ultimate Ninja Storm 4,XONE,2016
1776,8.4,76,Knights in the Nightmare,DS,2009
1777,8.4,83,F1 2001,PS2,2001
1778,8.4,74,All-Star Baseball 2004,XBOX,2003
1779,8.4,70,SpongeBob SquarePants: Battle for Bikini Bottom,XBOX,2003
1780,8.4,73,I-Ninja,PS2,2003
1781,8.4,70,Conflict: Desert Storm II - Back to Baghdad,PS2,2003
1782,8.4,84,Rayman Advance,GBA,2001
1783,8.4,72,Magic: The Gathering - Battlegrounds,XBOX,2003
1784,8.4,68,Phantasy Star Universe,PS2,2006
1785,8.4,76,Gigantic,PC,2017
1786,8.4,73,Yu-Gi-Oh! Nightmare Troubadour,DS,2005
1787,8.4,70,ATV Quad Power Racing 2,GC,2003
1788,8.4,81,Doom,GBA,2001
1789,8.4,46,Lowrider,PS2,2003
1790,8.4,75,The Legendary Starfy,DS,2009
1791,8.4,73,Fantasy Life,3DS,2014
1792,8.4,78,Wario Land: Shake It!,WII,2008
1793,8.4,76,Contra ReBirth,WII,2009
1794,8.4,78,WarioWare Gold,3DS,2018
1795,8.4,68,Dynasty Warriors 8,PS3,2013
1796,8.4,93,Divinity: Original Sin II,PC,2017
1797,8.4,84,The Binding of Isaac,PC,2011
1798,8.4,85,City of Heroes,PC,2004
1799,8.4,69,Sonic Battle,GBA,2004
1800,8.4,83,Severed,WIIU,2016
1801,8.4,82,Seaman,DC,2000
1802,8.4,84,Knockout Kings 2001,PS,2000
1803,8.4,91,SteamWorld Heist: Ultimate Edition,Switch,2017
1804,8.4,79,Black,PS2,2006
1805,8.4,93,SSX,PS2,2000
1806,8.4,83,No More Heroes,WII,2008
1807,8.4,79,Star Wars: Empire at War,PC,2006
1808,8.4,57,Vietcong: Purple Haze,XBOX,2004
1809,8.4,56,Sonic Riders: Zero Gravity,PS2,2008
1810,8.4,87,DOOM,XONE,2016
1811,8.4,92,Galactic Civilizations II: Twilight of the Arnor,PC,2008
1812,8.4,83,Europa Universalis III,PC,2007
1813,8.4,83,Contra 4,DS,2007
1814,8.4,83,Rogue Galaxy,PS2,2007
1815,8.4,82,Slime-san,Switch,2017
1816,8.4,87,Dead Space 2,PC,2011
1817,8.4,87,Rayman Origins,PS3,2011
1818,8.4,83,MLB Power Pros,WII,2007
1819,8.4,82,Thimbleweed Park,Switch,2017
1820,8.4,62,Mega Man Battle Network 6 Cybeast Gregar,GBA,2006
1821,8.4,85,Super Stardust HD,PS3,2007
1822,8.4,85,Project Gotham Racing 4,X360,2007
1823,8.4,86,The Elder Scrolls IV: Shivering Isles,PC,2007
1824,8.4,81,NBA 2K7,PS2,2006
1825,8.4,86,Skate,X360,2007
1826,8.4,66,Rumble Roses,PS2,2004
1827,8.4,85,Fable,XBOX,2004
1828,8.4,84,Trine 2,PC,2011
1829,8.4,89,Need for Speed: Hot Pursuit 2,PS2,2002
1830,8.4,89,Dead Space 2,PS3,2011
1831,8.4,87,Beyond Good & Evil,GC,2003
1832,8.4,69,Dance Dance Revolution: Mario Mix,GC,2005
1833,8.4,88,Medal of Honor Frontline,PS2,2002
1834,8.4,66,Obscure,XBOX,2005
1835,8.4,88,ESPN NHL Hockey,XBOX,2003
1836,8.4,87,Super Monkey Ball 2,GC,2002
1837,8.4,81,Worms: Open Warfare 2,DS,2007
1838,8.4,89,ESPN NBA Basketball,PS2,2003
1839,8.4,53,B-Boy,PS2,2008
1840,8.4,83,This War of Mine,PC,2014
1841,8.4,89,Tiger Woods PGA Tour 2004,GC,2003
1842,8.4,90,Super Mario 3D Land,3DS,2011
1843,8.4,84,Gorogoa,PC,2017
1844,8.4,90,Total War: Shogun 2,PC,2011
1845,8.4,54,I Heart Geeks!,DS,2011
1846,8.4,93,World Soccer Winning Eleven 6 International,PS2,2003
1847,8.4,69,Harry Potter and the Prisoner of Azkaban,GBA,2004
1848,8.4,89,Titanfall 2,PS4,2016
1849,8.4,94,Madden NFL 2004,PS2,2003
1850,8.4,82,Guitar Hero III: Legends of Rock,PS2,2007
1851,8.4,83,Grim Dawn,PC,2016
1852,8.4,82,Gemini Rue,PC,2011
1853,8.4,83,Professor Layton and the Last Specter,DS,2011
1854,8.4,83,Splatoon 2,Switch,2017
1855,8.4,84,James Bond 007: Everything or Nothing,PS2,2004
1856,8.4,78,Tales of the Abyss,PS2,2006
1857,8.4,84,Full Spectrum Warrior,XBOX,2004
1858,8.4,69,Serious Sam: Next Encounter,GC,2004
1859,8.4,84,Fatal Frame II: Crimson Butterfly Director's Cut,XBOX,2004
1860,8.4,91,Dishonored,PC,2012
1861,8.4,92,Rock Band,PS3,2007
1862,8.4,83,Final Fantasy V Advance,GBA,2006
1863,8.4,94,Call of Duty 4: Modern Warfare,PS3,2007
1864,8.4,85,Monkey Island 2 Special Edition: LeChuck's Revenge,X360,2010
1865,8.4,85,Lara Croft and the Guardian of Light,X360,2010
1866,8.4,88,Rayman Origins,VITA,2012
1867,8.4,85,Castle Crashers,PS3,2010
1868,8.4,85,Shantae: Risky's Revenge,DS,2010
1869,8.4,85,DOOM,PC,2016
1870,8.4,87,3D Sonic the Hedgehog 2,3DS,2015
1871,8.4,82,The Walking Dead: Episode 1 - A New Day,PC,2012
1872,8.4,82,Botanicula,PC,2012
1873,8.4,82,WarioWare D.I.Y.,DS,2010
1874,8.4,63,Drakengard,PS2,2004
1875,8.4,84,SOMA,PC,2015
1876,8.4,81,Metal Gear Solid HD Collection,VITA,2012
1877,8.4,81,Jak and Daxter Collection,PS3,2012
1878,8.4,90,LIMBO,X360,2010
1879,8.4,84,Mortal Kombat,PS3,2011
1880,8.4,84,The Walking Dead: Episode 2 - Starved for Help,PS3,2012
1881,8.4,84,FTL: Faster Than Light,PC,2012
1882,8.4,80,LEGO The Lord of the Rings,X360,2012
1883,8.4,67,Fullmetal Alchemist 2: Curse of the Crimson Elixir,PS2,2005
1884,8.4,85,SteamWorld Dig 2,PC,2017
1885,8.4,85,Batman: Arkham City - Armored Edition,WIIU,2012
1886,8.4,85,The Walking Dead: Episode 3 - Long Road Ahead,PC,2012
1887,8.4,67,Mega Man Battle Network 5: Team Protoman,GBA,2005
1888,8.4,80,Pokemon Conquest,DS,2012
1889,8.4,85,Trials Evolution: Origin of Pain,X360,2012
1890,8.4,80,The Last Story,WII,2012
1891,8.4,69,Final Fantasy Explorers,3DS,2016
1892,8.4,86,SteamWorld Heist,3DS,2015
1893,8.4,82,Resident Evil: Revelations,3DS,2012
1894,8.4,93,Flipnote Studio,DS,2009
1895,8.4,85,Shadow Tactics: Blades of the Shogun,PC,2016
1896,8.4,87,Serious Sam: The First Encounter,PC,2001
1897,8.4,80,Ys: The Oath in Felghana,PSP,2010
1898,8.4,92,Journey,PS4,2015
1899,8.4,84,Guild Wars Factions,PC,2006
1900,8.4,54,Mega Man: Battle Chip Challenge,GBA,2004
1901,8.4,81,Dragon Quest VII: Fragments of the Forgotten Past,3DS,2016
1902,8.4,87,Axiom Verge,Switch,2017
1903,8.4,62,DemiKids: Light Version,GBA,2003
1904,8.4,80,Shantae: Half-Genie Hero,WIIU,2016
1905,8.4,83,Life is Strange: Episode 5 - Polarized,PC,2015
1906,8.4,59,Teenage Mutant Ninja Turtles,PS2,2003
1907,8.4,85,Rumble Racing,PS2,2001
1908,8.4,86,The Legend of Zelda: Twilight Princess HD,WIIU,2016
1909,8.4,80,Red Dead Redemption: Liars and Cheats,PS3,2010
1910,8.4,89,NBA Street,PS2,2001
1911,8.4,80,Dariusburst: Chronicle Saviours,PC,2015
1912,8.4,89,Phantasy Star Online,DC,2001
1913,8.4,90,Rayman 2 Revolution,PS2,2001
1914,8.4,90,Madden NFL 2002,XBOX,2001
1915,8.4,90,Sid Meier's Civilization III,PC,2001
1916,8.4,95,Gran Turismo 3: A-Spec,PS2,2001
1917,8.4,81,Tales From The Borderlands: Episode 3 - Catch A Ride,PC,2015
1918,8.4,87,New Super Mario Bros. Wii,WII,2009
1919,8.4,58,Madagascar: Escape 2 Africa,PS3,2008
1920,8.4,88,NHL 10,X360,2009
1921,8.4,83,Ratchet & Clank Collection,PS3,2012
1922,8.4,86,Sonic Mania,PS4,2017
1923,8.4,89,Left 4 Dead 2,PC,2009
1924,8.4,80,Age of Wonders III - Eternal Lords,PC,2015
1925,8.4,64,Ghostbusters: The Video Game,PS2,2009
1926,8.4,86,Rayman Origins,PC,2012
1927,8.4,92,Bayonetta 2,Switch,2018
1928,8.4,81,Muramasa: The Demon Blade,WII,2009
1929,8.4,88,NBA Street V3,GC,2005
1930,8.4,79,Carcassonne,X360,2007
1931,8.4,67,Legaia 2: Duel Saga,PS2,2002
1932,8.4,83,MLB 08: The Show,PSP,2008
1933,8.4,64,Forever Kingdom,PS2,2002
1934,8.4,84,Tales From The Borderlands: Episode 1 - Zer0 Sum,PC,2014
1935,8.4,65,Marvel vs. Capcom 2,XBOX,2003
1936,8.4,94,Tony Hawk's Pro Skater 4,PS2,2002
1937,8.4,66,Aliens Versus Predator: Extinction,PS2,2003
1938,8.4,86,The Binding of Isaac: Rebirth,PC,2014
1939,8.4,86,Borderlands 2: Tiny Tina's Assault on Dragon Keep,X360,2013
1940,8.4,86,Mario & Luigi: Partners in Time,DS,2005
1941,8.4,58,Time Machine VR,PC,2016
1942,8.4,86,Call of Duty 2,PC,2005
1943,8.4,62,Resident Evil Archives: Resident Evil Zero,WII,2009
1944,8.4,89,Burnout Revenge,XBOX,2005
1945,8.4,90,World Soccer Winning Eleven 8 International,XBOX,2005
1946,8.4,89,Guild Wars,PC,2005
1947,8.4,88,Shovel Knight,WIIU,2014
1948,8.4,85,Hotline Miami,VITA,2013
1949,8.4,89,Castlevania: Dawn of Sorrow,DS,2005
1950,8.4,64,Dinotopia: The Timestone Pirates,GBA,2002
1951,8.4,78,Karaoke Revolution Presents: American Idol,PS2,2007
1952,8.4,80,Metro: Last Light,X360,2013
1953,8.4,85,Prince of Persia: The Two Thrones,XBOX,2005
1954,8.4,86,Rocksmith 2014 Edition,PS3,2013
1955,8.4,85,Star Wars: Knights of the Old Republic II - The Sith Lords,PC,2005
1956,8.4,85,NHL 2004,GC,2003
1957,8.4,67,Commandos 2: Men of Courage,XBOX,2002
1958,8.4,67,The Operative: No One Lives Forever,PS2,2002
1959,8.4,66,Whiplash,PS2,2003
1960,8.4,82,Fallout 3: Broken Steel,X360,2009
1961,8.4,83,Gunpoint,PC,2013
1962,8.4,85,MotoGP 3: Ultimate Racing Technology,XBOX,2005
1963,8.4,91,NCAA Football 2003,PS2,2002
1964,8.4,83,Donkey Kong Country Returns 3D,3DS,2013
1965,8.4,82,Shantae and the Pirate's Curse,3DS,2014
1966,8.4,82,Dragon's Crown,PS3,2013
1967,8.4,85,Assetto Corsa,PC,2014
1968,8.4,82,Yoku's Island Express,Switch,2018
1969,8.4,85,Bravely Default,3DS,2014
1970,8.4,79,The Bigs,X360,2007
1971,8.4,91,Battlefield 2,PC,2005
1972,8.4,82,The Wolf Among Us: Episode 1 - Faith,X360,2013
1973,8.4,90,Tony Hawk's Pro Skater 3,PC,2002
1974,8.4,68,Need for Speed: Hot Pursuit 2,GC,2002
1975,8.4,64,"Warhammer 40,000: Fire Warrior",PS2,2003
1976,8.4,92,Uncharted 3: Drake's Deception,PS3,2011
1977,8.4,90,Half-Life 2,XBOX,2005
1978,8.4,87,Rayman Legends,VITA,2013
1979,8.4,81,Alien: Isolation,PC,2014
1980,8.4,91,LittleBigPlanet 2,PS3,2011
1981,8.4,91,World Soccer Winning Eleven 8 International,PS2,2005
1982,8.4,87,Tomb Raider,PS3,2013
1983,8.4,80,Far Cry 3: Blood Dragon,X360,2013
1984,8.3,63,Mega Man Battle Network 6 Cybeast Falzar,GBA,2006
1985,8.3,76,Skullgirls: 2nd Encore,VITA,2016
1986,8.3,77,Broken Sword: The Sleeping Dragon,XBOX,2003
1987,8.3,87,PixelJunk Shooter,PS3,2009
1988,8.3,85,"Warhammer 40,000: Dawn of War - Winter Assault",PC,2005
1989,8.3,79,Don't Starve,PC,2013
1990,8.3,69,Neighbors from Hell,PC,2003
1991,8.3,81,Life is Strange: Episode 5 - Polarized,PS4,2015
1992,8.3,59,Postal 2: Share the Pain,PC,2003
1993,8.3,62,Bee Movie Game,WII,2007
1994,8.3,84,The Movies,PC,2005
1995,8.3,83,Icewind Dale II,PC,2002
1996,8.3,83,Sega Sports Tennis,PS2,2002
1997,8.3,63,Crash 'N' Burn,PS2,2004
1998,8.3,82,Resident Evil HD Remaster,PC,2015
1999,8.3,80,The Walking Dead: Season Two Episode 2 - A House Divided,X360,2014
2000,8.3,66,Universe at War: Earth Assault,X360,2008
2001,8.3,79,Life is Strange: Before the Storm - Episode 1: Awake,XONE,2017
2002,8.3,85,inFamous,PS3,2009
2003,8.3,90,Forza Motorsport 2,X360,2007
2004,8.3,86,Onimusha: Warlords,PS2,2001
2005,8.3,80,The Walking Dead: Season Two Episode 3 - In Harm's Way,PS3,2014
2006,8.3,68,Pokemon Ranger: Shadows of Almia,DS,2008
2007,8.3,81,Shadowrun: Dragonfall,PC,2014
2008,8.3,70,Lead and Gold: Gangs of the Wild West,PC,2010
2009,8.3,69,Kya: Dark Lineage,PS2,2003
2010,8.3,85,Castlevania: Portrait of Ruin,DS,2006
2011,8.3,70,Bomberman Live: Battlefest,X360,2010
2012,8.3,88,Tom Clancy's Rainbow Six Vegas,X360,2006
2013,8.3,84,DEFCON: Everybody Dies,PC,2006
2014,8.3,85,Unreal Championship 2: The Liandri Conflict,XBOX,2005
2015,8.3,70,Crash Nitro Kart,XBOX,2003
2016,8.3,65,Final Fantasy XV: Episode Prompto,PS4,2017
2017,8.3,89,World Soccer Winning Eleven 9,PC,2006
2018,8.3,94,Gears of War,X360,2006
2019,8.3,76,Streets of Rage 2,X360,2007
2020,8.3,66,Disaster Report,PS2,2003
2021,8.3,83,Clubhouse Games,DS,2006
2022,8.3,78,SingStar '80s,PS2,2007
2023,8.3,77,Need for Speed Underground,GBA,2003
2024,8.3,85,Indigo Prophecy,PC,2005
2025,8.3,85,Wizardry 8,PC,2001
2026,8.3,79,L.A. Noire,Switch,2017
2027,8.3,81,Finding Paradise,PC,2017
2028,8.3,66,Dragon Ball Z: Budokai 2,PS2,2003
2029,8.3,87,Baldur's Gate: Dark Alliance,PS2,2001
2030,8.3,88,Tribes 2,PC,2001
2031,8.3,73,Get Even,XONE,2017
2032,8.3,94,Sid Meier's Civilization IV,PC,2005
2033,8.3,70,Wing Commander: Prophecy,GBA,2003
2034,8.3,89,Assassin's Creed: Brotherhood,X360,2010
2035,8.3,78,Chaos on Deponia,PC,2012
2036,8.3,78,Dragon's Dogma,PS3,2012
2037,8.3,56,World Racing,XBOX,2003
2038,8.3,81,Sleeping Dogs,PC,2012
2039,8.3,80,Outlast,PC,2013
2040,8.3,80,WWE SmackDown vs. Raw 2010,X360,2009
2041,8.3,67,Fragile Dreams: Farewell Ruins of the Moon,WII,2010
2042,8.3,87,Super Meat Boy,PC,2010
2043,8.3,66,Heroes of Might and Magic V: Hammers of Fate,PC,2006
2044,8.3,71,Blood Omen 2,GC,2002
2045,8.3,77,Tales of Graces f,PS3,2012
2046,8.3,80,Wave Race: Blue Storm,GC,2001
2047,8.3,82,The Walking Dead: Episode 4 - Around Every Corner,X360,2012
2048,8.3,80,Dishonored: The Knife of Dunwall,PC,2013
2049,8.3,75,Swords & Soldiers II,WIIU,2015
2050,8.3,80,Bomberman Online,DC,2001
2051,8.3,93,Rock Band 3,X360,2010
2052,8.3,72,MotorStorm Arctic Edge,PS2,2009
2053,8.3,57,Armored Core: Nine Breaker,PS2,2005
2054,8.3,82,Antichamber,PC,2013
2055,8.3,77,Tomena Sanner,WII,2010
2056,8.3,61,Muppets Party Cruise,PS2,2003
2057,8.3,73,Mini Ninjas,X360,2009
2058,8.3,77,Etrian Odyssey III: The Drowned City,DS,2010
2059,8.3,86,Rocket League,PC,2015
2060,8.3,73,Super Robot Taisen OG Saga: Endless Frontier,DS,2009
2061,8.3,84,Fallout: New Vegas,X360,2010
2062,8.3,81,Empire Earth,PC,2001
2063,8.3,59,Pokemon Rumble,WII,2009
2064,8.3,61,Rogue Ops,PS2,2003
2065,8.3,72,Pid,X360,2012
2066,8.3,79,NFL Fever 2002,XBOX,2001
2067,8.3,87,Battlefield: Bad Company 2,PC,2010
2068,8.3,83,Pinball Hall of Fame: The Williams Collection,X360,2009
2069,8.3,84,Tiger Woods PGA Tour 11,WII,2010
2070,8.3,70,L.A. Noire: Nicholson Electroplating Disaster,X360,2011
2071,8.3,81,The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Switch,2017
2072,8.3,78,Iridion II,GBA,2003
2073,8.3,77,Kinetica,PS2,2001
2074,8.3,78,Amped: Freestyle Snowboarding,XBOX,2001
2075,8.3,65,Untold Legends: The Warrior's Code,PSP,2006
2076,8.3,80,Robin Hood: The Legend of Sherwood,PC,2002
2077,8.3,73,Outtrigger,DC,2001
2078,8.3,80,Broken Sword: The Shadow of the Templars,GBA,2002
2079,8.3,83,Art Style: PiCTOBiTS,DS,2009
2080,8.3,80,LEGO City Undercover,WIIU,2013
2081,8.3,89,Wipeout HD Fury,PS3,2009
2082,8.3,64,Test Drive Off-Road Wide Open,XBOX,2001
2083,8.3,70,MX vs. ATV Untamed,WII,2008
2084,8.3,79,Mega Man Battle Network,GBA,2001
2085,8.3,76,Triple Play Baseball,PS,2001
2086,8.3,82,LEGO The Lord of the Rings,PS3,2012
2087,8.3,66,Point Blank DS,DS,2006
2088,8.3,70,.hack//Outbreak Part 3,PS2,2003
2089,8.3,76,Sega Bass Fishing 2,DC,2001
2090,8.3,71,Teenage Mutant Ninja Turtles,GBA,2003
2091,8.3,76,Star Wars Starfighter: Special Edition,XBOX,2001
2092,8.3,61,The Simpsons Road Rage,XBOX,2001
2093,8.3,68,Deadly Premonition,X360,2010
2094,8.3,71,Tak and the Power of Juju,GC,2003
2095,8.3,82,Tekken Tag Tournament 2,PS3,2012
2096,8.3,86,Pinball FX 2: Marvel Pinball,X360,2010
2097,8.3,76,Spec Ops: The Line,X360,2012
2098,8.3,74,Dance Dance Revolution Disney Mix,PS,2001
2099,8.3,73,Gauntlet: Dark Legacy,PS2,2001
2100,8.3,87,Red Dead Redemption: Undead Nightmare Pack,X360,2010
2101,8.3,78,World Tour Soccer 2003,PS2,2003
2102,8.3,86,Guitar Hero III: Legends of Rock,WII,2007
2103,8.3,89,The Orange Box,PS3,2007
2104,8.3,88,Sid Meier's Pirates!,PC,2004
2105,8.3,75,NBA Street Showdown,PSP,2005
2106,8.3,79,Otogi 2: Immortal Warriors,XBOX,2004
2107,8.3,83,Kirby Mass Attack,DS,2011
2108,8.3,82,The Book of Unwritten Tales,PC,2011
2109,8.3,78,Brandish: The Dark Revenant,PSP,2015
2110,8.3,75,BloodRayne,PS2,2002
2111,8.3,56,Colosseum: Road to Freedom,PS2,2005
2112,8.3,75,Ace Combat X: Skies of Deception,PSP,2006
2113,8.3,75,Baten Kaitos Origins,GC,2006
2114,8.3,78,Life is Strange: Episode 2 - Out of Time,PS4,2015
2115,8.3,75,Mortal Kombat: Armageddon,PS2,2006
2116,8.3,93,Grand Theft Auto III,PC,2002
2117,8.3,93,Viewtiful Joe,GC,2003
2118,8.3,74,Infected,PSP,2005
2119,8.3,76,RoboBlitz,X360,2006
2120,8.3,79,OutRun Online Arcade,X360,2009
2121,8.3,79,Until Dawn,PS4,2015
2122,8.3,75,Bloody Roar: Primal Fury,GC,2002
2123,8.3,58,The Lord of the Rings: Aragorn's Quest,WII,2010
2124,8.3,86,ESPN College Hoops 2K5,XBOX,2004
2125,8.3,86,Viewtiful Joe 2,GC,2004
2126,8.3,56,Michael Jackson The Experience,WII,2010
2127,8.3,79,Sonic Advance 3,GBA,2004
2128,8.3,83,Zero Escape: Zero Time Dilemma,VITA,2016
2129,8.3,85,Thief: Deadly Shadows,PC,2004
2130,8.3,79,Chessmaster,XBOX,2004
2131,8.3,72,Disney Golf,PS2,2002
2132,8.3,57,Knock-knock,PC,2013
2133,8.3,84,James Bond 007: Everything or Nothing,GC,2004
2134,8.3,56,Leisure Suit Larry: Reloaded,PC,2013
2135,8.3,75,Stubbs the Zombie in Rebel Without a Pulse,XBOX,2005
2136,8.3,71,Tak 2: The Staff of Dreams,PS2,2004
2137,8.3,75,Sly Cooper: Thieves in Time,PS3,2013
2138,8.3,92,NFL 2K3,GC,2002
2139,8.3,74,Tak: The Great Juju Challenge,PS2,2005
2140,8.3,80,Bully: Scholarship Edition,X360,2008
2141,8.3,66,Dengeki Bunko: Fighting Climax,PS3,2015
2142,8.3,68,NFL Street 3,PSP,2006
2143,8.3,83,Freedom Planet,PC,2014
2144,8.3,87,Rallisport Challenge,XBOX,2002
2145,8.3,87,Beyond Good & Evil,XBOX,2003
2146,8.3,66,Blood Omen 2,PC,2002
2147,8.3,88,Tony Hawk's Pro Skater 4,PC,2003
2148,8.3,74,Cossacks: The Art of War,PC,2002
2149,8.3,69,Gallop Racer 2006,PS2,2006
2150,8.3,88,JSRF: Jet Set Radio Future,XBOX,2002
2151,8.3,76,The Wolf Among Us: Episode 2 - Smoke and Mirrors,PC,2014
2152,8.3,67,Pokemon Mystery Dungeon: Red Rescue Team,GBA,2006
2153,8.3,64,Operation Flashpoint: Elite,XBOX,2005
2154,8.3,87,Jak II,PS2,2003
2155,8.3,82,Stealth Inc 2: A Game of Clones,WIIU,2014
2156,8.3,73,Dead to Rights,XBOX,2002
2157,8.3,80,Syberia II,PC,2004
2158,8.3,73,Cold Winter,PS2,2005
2159,8.3,81,Pokemon LeafGreen Version,GBA,2004
2160,8.3,73,Wild Arms Alter Code: F,PS2,2005
2161,8.3,72,Fire Pro Wrestling 2,GBA,2002
2162,8.3,92,Madden NFL 2004,XBOX,2003
2163,8.3,77,Grandia III,PS2,2006
2164,8.3,78,Rabbids Go Home,WII,2009
2165,8.3,84,"Snipperclips Plus: Cut It Out, Together!",Switch,2017
2166,8.3,72,Puyo Pop Fever,GC,2004
2167,8.3,48,Beat Down: Fists of Vengeance,PS2,2005
2168,8.3,70,NFL Street 3,PS2,2006
2169,8.3,77,Sonic Generations,PC,2011
2170,8.3,85,Phantasy Star Online Episode I & II,GC,2002
2171,8.3,73,Freedom Wars,VITA,2014
2172,8.3,73,Cosmophony,WIIU,2014
2173,8.3,83,Transistor,PC,2014
2174,8.3,83,Rhythm Heaven Megamix,3DS,2016
2175,8.3,90,Viewtiful Joe,PS2,2004
2176,8.3,87,Jeanne d'Arc,PSP,2007
2177,8.3,86,Tales From Space: Mutant Blobs Attack,VITA,2012
2178,8.3,65,Resident Evil Code: Veronica X HD,PS3,2011
2179,8.3,69,Kororinpa: Marble Mania,WII,2007
2180,8.3,84,Enemy Territory: Quake Wars,PC,2007
2181,8.3,84,Warhawk,PS3,2007
2182,8.3,79,Toki Tori,WII,2008
2183,8.3,76,Destroy All Humans!,XBOX,2005
2184,8.3,60,Helix,WII,2008
2185,8.3,58,Code Lyoko: Quest for Infinity,WII,2007
2186,8.3,66,The Last Remnant,PC,2009
2187,8.3,88,F.E.A.R.,PC,2005
2188,8.3,77,Valiant Hearts: The Great War,PS4,2014
2189,8.3,75,Test Drive Unlimited,PS2,2007
2190,8.3,76,The Suffering: Ties That Bind,XBOX,2005
2191,8.3,60,Urban Reign,PS2,2005
2192,8.3,74,Prince of Persia Rival Swords,PSP,2007
2193,8.3,82,Splatoon 2: Octo Expansion,Switch,2018
2194,8.3,67,Freestyle Metal X,PS2,2003
2195,8.3,60,Obscure: The Aftermath,PS2,2008
2196,8.3,72,Danganronpa Another Episode: Ultra Despair Girls,VITA,2015
2197,8.3,42,Star Trek: Shattered Universe,PS2,2004
2198,8.3,78,Disney's Extreme Skate Adventure,PS2,2003
2199,8.3,87,Puzzle Quest: Challenge of the Warlords,X360,2007
2200,8.3,78,Max Payne,GBA,2003
2201,8.3,78,MLB Slugfest 20-04,PS2,2003
2202,8.3,72,Human Resource Machine,WIIU,2015
2203,8.3,86,Supreme Commander,PC,2007
2204,8.3,46,Starpoint Gemini,PC,2010
2205,8.3,70,Hot Shots Tennis,PS2,2007
2206,8.3,76,Overlord,X360,2007
2207,8.3,72,Anima: Gate of Memories,XONE,2016
2208,8.3,76,Hyrule Warriors,WIIU,2014
2209,8.3,75,Etrian Odyssey,DS,2007
2210,8.3,79,SimCity 4: Rush Hour,PC,2003
2211,8.3,92,Rock Band 2,X360,2008
2212,8.3,90,Geometry Wars: Retro Evolved 2,X360,2008
2213,8.3,88,NHL 09,X360,2008
2214,8.3,74,Custom Robo Arena,DS,2007
2215,8.3,70,.hack//Quarantine Part 4,PS2,2004
2216,8.3,59,Tomb Raider: Chronicles,DC,2000
2217,8.3,56,NASCAR 08,PS2,2007
2218,8.3,52,TerRover,PS3,2010
2219,8.3,87,Icewind Dale,PC,2000
2220,8.3,80,Rocksmith,PS3,2011
2221,8.3,82,Dark Souls III: The Ringed City,PC,2017
2222,8.3,57,Dragon Valor,PS,2000
