,title,user_score,release_date,console,keydata
99,FIFA Soccer 11    ,N/A  ,2010,PS3,5.08
100,Final Fantasy XV    ,N/A  ,2016,PS4,5.07
101,Fallout 4    ,N/A  ,2015,XOne,5.03
102,Tony Hawk's Pro Skater    ,N/A  ,1999,PS,5.02
103,Warzone 2100    ,N/A  ,1999,PS,5.01
104,Spyro the Dragon    ,N/A  ,1998,PS,5.00
105,Guitar Hero III: Legends of Rock    ,N/A  ,2007,PS2,4.98
106,Uncharted: Drake's Fortune    ,8.6,2007,PS3,4.97
107,Fallout 3    ,8.6,2008,X360,4.96
108,Madden NFL 06    ,N/A  ,2005,PS2,4.91
109,Call of Duty: Black Ops IIII    ,N/A  ,2018,XOne,4.85
110,Crash Bandicoot N. Sane Trilogy    ,N/A  ,2017,PS4,4.83
111,Assassin's Creed    ,8.5,2007,PS3,4.83
112,Call of Duty: Infinite Warfare    ,N/A  ,2016,XOne,4.79
113,Crash Team Racing    ,N/A  ,1999,PS,4.79
114,LEGO Star Wars: The Complete Saga    ,N/A  ,2007,DS,4.77
115,Batman: Arkham City    ,N/A  ,2011,X360,4.75
116,Driver 2    ,N/A  ,2000,PS,4.73
117,The Simpsons: Hit & Run    ,N/A  ,2003,PS2,4.70
118,Tony Hawk's Pro Skater 2    ,N/A  ,2000,PS,4.68
119,Monster Hunter: World    ,9,2018,PS4,4.67
120,The Lord of the Rings: The Two Towers    ,N/A  ,2002,PS2,4.67
121,Tomb Raider    ,N/A  ,1996,PS,4.63
122,Forza Motorsport 4    ,N/A  ,2011,X360,4.60
123,Guitar Hero III: Legends of Rock    ,N/A  ,2007,Wii,4.60
124,"Pokémon: Let's Go, Pikachu!    ",N/A  ,2018,NS,4.57
125,FIFA 15    ,N/A  ,2014,PS3,4.56
126,Mario & Sonic at the Olympic Winter Games    ,N/A  ,2009,Wii,4.54
127,Overwatch    ,N/A  ,2016,PS4,4.54
128,Madden NFL 2005    ,N/A  ,2004,PS2,4.53
129,Guitar Hero III: Legends of Rock    ,N/A  ,2007,X360,4.53
130,Star Wars Battlefront II (2017)    ,N/A  ,2017,PS4,4.53
131,Pitfall!    ,N/A  ,1982,2600,4.50
132,Madden NFL 07    ,N/A  ,2006,PS2,4.49
133,Spider-Man: The Movie    ,N/A  ,2002,PS2,4.48
134,The Elder Scrolls IV: Oblivion    ,N/A  ,2009,X360,4.47
135,Tony Hawk's Pro Skater 3    ,N/A  ,2001,PS2,4.41
136,Winning Eleven: Pro Evolution Soccer 2007    ,N/A  ,2007,PS2,4.39
137,Michael Jackson: The Experience    ,N/A  ,2010,Wii,4.37
138,Tom Clancy's The Division    ,N/A  ,2016,PS4,4.37
139,Need for Speed: Most Wanted    ,N/A  ,2005,PS2,4.37
140,Resistance: Fall of Man    ,9.1,2006,PS3,4.37
141,Tom Clancy's Rainbow Six: Siege    ,N/A  ,2015,PS4,4.36
142,Call of Duty: Advanced Warfare    ,N/A  ,2014,X360,4.34
143,Watch Dogs    ,N/A  ,2014,PS4,4.32
144,Asteroids    ,N/A  ,1981,2600,4.31
145,Batman: Arkham Asylum    ,N/A  ,2009,PS3,4.28
146,Call of Duty: Advanced Warfare    ,N/A  ,2014,PS3,4.27
147,Namco Museum    ,N/A  ,2001,GBA,4.24
148,Daxter    ,N/A  ,2006,PSP,4.23
149,Assassin's Creed: Revelations    ,N/A  ,2011,PS3,4.23
150,Metal Gear Solid 3: Snake Eater    ,N/A  ,2004,PS2,4.23
151,Assassin's Creed: Revelations    ,N/A  ,2011,X360,4.22
152,FIFA Soccer 06    ,N/A  ,2005,PS2,4.21
153,Street Fighter IV    ,9,2009,PS3,4.19
154,FIFA Soccer 12    ,N/A  ,2011,X360,4.18
155,Call of Duty: Ghosts    ,N/A  ,2013,PS4,4.17
156,Teenage Mutant Ninja Turtles    ,N/A  ,1989,NES,4.17
157,Frogger    ,N/A  ,1997,PS,4.16
158,Star Wars Battlefront (2015)    ,N/A  ,2015,XOne,4.15
159,FIFA 14    ,N/A  ,2013,X360,4.15
160,Madden NFL 2003    ,N/A  ,2002,PS2,4.14
161,Assassin's Creed: Unity    ,N/A  ,2014,PS4,4.14
162,Destiny 2    ,N/A  ,2017,PS4,4.14
163,Half-Life    ,N/A  ,1998,PC,4.12
164,Batman: Arkham Knight    ,N/A  ,2015,PS4,4.11
165,FIFA 07 Soccer    ,N/A  ,2006,PS2,4.11
166,The Sims 4    ,N/A  ,2014,PC,4.10
167,Fallout: New Vegas    ,N/A  ,2010,X360,4.08
168,Assassin's Creed Origins    ,N/A  ,2017,PS4,4.06
169,Far Cry 4    ,N/A  ,2014,PS4,4.06
170,Carnival Games    ,N/A  ,2007,Wii,4.06
171,World Soccer Winning Eleven 9    ,N/A  ,2006,PS2,4.06
172,Forza Motorsport 2    ,N/A  ,2007,X360,4.05
173,Namco Museum Vol.3    ,N/A  ,1997,PS,4.05
174,Tekken Tag Tournament    ,N/A  ,2000,PS2,4.05
175,Fallout 3    ,N/A  ,2008,PS3,4.00
176,The Elder Scrolls V: Skyrim    ,N/A  ,2011,PC,3.99
177,Namco Museum: 50th Anniversary    ,N/A  ,2005,PS2,3.98
178,NBA 2K16    ,N/A  ,2015,PS4,3.98
179,Left 4 Dead 2    ,N/A  ,2009,X360,3.97
180,Far Cry 5    ,N/A  ,2018,PS4,3.95
181,Battlefield 4    ,N/A  ,2013,PS4,3.94
182,Assassin's Creed IV: Black Flag    ,N/A  ,2013,PS3,3.94
183,EA Sports Active    ,N/A  ,2009,Wii,3.93
184,Tony Hawk's Underground    ,N/A  ,2003,PS2,3.90
185,Just Dance 2014    ,N/A  ,2013,Wii,3.89
186,Sports Champions    ,N/A  ,2010,PS3,3.88
187,MotorStorm    ,N/A  ,2007,PS3,3.87
188,World Soccer Winning Eleven 8 International    ,N/A  ,2005,PS2,3.85
189,Namco Museum Vol.1    ,N/A  ,1996,PS,3.84
190,Gran Turismo Sport    ,N/A  ,2017,PS4,3.77
191,LEGO Indiana Jones: The Original Adventures    ,N/A  ,2008,X360,3.76
192,The Sims: Unleashed    ,N/A  ,2002,PC,3.76
193,Ratchet & Clank: Size Matters    ,N/A  ,2007,PSP,3.75
194,Harry Potter and the Sorcerer's Stone    ,N/A  ,2001,PS,3.73
195,FIFA 17    ,N/A  ,2016,XOne,3.71
196,Spyro: Year of the Dragon    ,N/A  ,2000,PS,3.71
197,FIFA Soccer 2005    ,N/A  ,2004,PS2,3.70
198,Tony Hawk's Pro Skater 4    ,N/A  ,2002,PS2,3.67
199,Midnight Club 3: DUB Edition    ,N/A  ,2005,PSP,3.66
200,MySims    ,N/A  ,2007,DS,3.66
201,SOCOM: U.S. Navy SEALs    ,N/A  ,2002,PS2,3.65
202,Battlefield 4    ,N/A  ,2013,PS3,3.64
203,Jak and Daxter: The Precursor Legacy    ,8.9,2001,PS2,3.64
204,Pro Evolution Soccer 2008    ,N/A  ,2008,PS2,3.63
205,FIFA Soccer 10    ,N/A  ,2009,PS3,3.63
206,Guitar Hero: World Tour    ,N/A  ,2008,Wii,3.62
207,Gears of War: Ultimate Edition    ,N/A  ,2015,XOne,3.62
208,Star Wars Battlefront    ,N/A  ,2004,PS2,3.61
209,Doom II    ,N/A  ,1994,PC,3.61
210,The Simpsons: Road Rage    ,N/A  ,2001,PS2,3.61
211,Assassin's Creed Syndicate    ,N/A  ,2015,PS4,3.60
212,Star Wars Battlefront II    ,N/A  ,2005,PS2,3.59
213,Assassin's Creed: Unity    ,N/A  ,2014,XOne,3.58
214,Cooking Mama 2: Dinner With Friends    ,N/A  ,2007,DS,3.58
215,WWF SmackDown!    ,N/A  ,2000,PS,3.58
216,Croc: Legend of the Gobbos    ,N/A  ,1997,PS,3.56
217,Battlefield 4    ,N/A  ,2013,X360,3.54
218,Grand Theft Auto: Liberty City Stories    ,N/A  ,2006,PS2,3.54
219,The Getaway    ,N/A  ,2003,PS2,3.54
220,Tomb Raider III: Adventures of Lara Croft    ,N/A  ,1998,PS,3.54
221,Batman: Arkham Asylum    ,N/A  ,2009,X360,3.54
222,Assassin's Creed: Brotherhood    ,N/A  ,2010,X360,3.53
223,James Bond 007: Agent Under Fire    ,N/A  ,2001,PS2,3.53
224,LEGO Star Wars: The Video Game    ,N/A  ,2005,PS2,3.53
225,Resident Evil 5    ,N/A  ,2009,X360,3.53
226,Rugrats in Paris: The Movie    ,N/A  ,2000,PS,3.52
227,NBA 2K17    ,N/A  ,2016,PS4,3.52
228,FIFA Soccer 11    ,N/A  ,2010,X360,3.52
229,Spyro 2: Ripto's Rage!    ,N/A  ,1999,PS,3.52
230,Left 4 Dead    ,9,2008,X360,3.52
231,FIFA Soccer 2004    ,N/A  ,2003,PS2,3.49
232,Mortal Kombat X    ,N/A  ,2015,PS4,3.49
233,Battlefield: Bad Company 2    ,9.3,2010,X360,3.48
234,Borderlands    ,N/A  ,2009,X360,3.48
235,Mario & Sonic at the Olympic Winter Games    ,N/A  ,2009,DS,3.47
236,Guitar Hero: On Tour    ,8.1,2008,DS,3.46
237,Halo: The Master Chief Collection    ,N/A  ,2014,XOne,3.44
238,LEGO Batman: The Videogame    ,N/A  ,2008,X360,3.44
239,Tekken 4    ,N/A  ,2002,PS2,3.44
240,FIFA 14    ,N/A  ,2013,PS4,3.43
241,LittleBigPlanet 2    ,N/A  ,2011,PS3,3.43
242,Grand Theft Auto 2    ,N/A  ,1999,PS,3.42
243,Destiny    ,N/A  ,2014,XOne,3.41
244,Spider-Man 2    ,N/A  ,2004,PS2,3.41
245,FIFA Soccer 2003    ,N/A  ,2002,PS2,3.40
246,Crash Bash    ,N/A  ,2000,PS,3.39
247,Gears of War 4    ,N/A  ,2016,XOne,3.38
248,The Elder Scrolls V: Skyrim Special Edition    ,N/A  ,2016,PS4,3.36
249,Watch Dogs 2    ,N/A  ,2016,PS4,3.36
250,WWF War Zone    ,N/A  ,1998,PS,3.36
251,Assassin's Creed IV: Black Flag    ,N/A  ,2013,X360,3.34
252,NBA 2K18    ,N/A  ,2017,PS4,3.34
253,Rugrats: Search For Reptar    ,N/A  ,1998,PS,3.34
254,James Bond 007: Nightfire    ,N/A  ,2002,PS2,3.33
255,Ratchet & Clank    ,N/A  ,2002,PS2,3.33
256,Star Wars Episode III: Revenge of the Sith    ,N/A  ,2005,PS2,3.32
257,Max Payne    ,N/A  ,2001,PS2,3.31
258,Madden NFL 16    ,N/A  ,2015,PS4,3.30
259,The Lord of the Rings: The Return of the King    ,N/A  ,2003,PS2,3.28
260,Madden NFL 17    ,N/A  ,2016,PS4,3.28
261,True Crime: Streets of LA    ,N/A  ,2003,PS2,3.27
262,Gran Turismo (PSP)    ,N/A  ,2009,PSP,3.27
263,Far Cry 3    ,N/A  ,2012,PS3,3.27
264,FIFA 16    ,N/A  ,2015,XOne,3.25
265,Tekken    ,N/A  ,1995,PS,3.24
266,007: Tomorrow Never Dies    ,N/A  ,1999,PS,3.21
267,L.A. Noire    ,N/A  ,2011,PS3,3.21
268,WWF SmackDown! 2: Know Your Role    ,N/A  ,2000,PS,3.20
269,Middle-Earth: Shadow of Mordor    ,N/A  ,2014,PS4,3.19
270,Assassin's Creed IV: Black Flag    ,N/A  ,2013,PS4,3.19
271,Enter the Matrix    ,N/A  ,2003,PS2,3.18
272,Assassin's Creed Odyssey    ,N/A  ,2018,PS4,3.18
273,Fallout: New Vegas    ,N/A  ,2010,PS3,3.17
274,Ace Combat 04: Shattered Skies    ,N/A  ,2001,PS2,3.17
275,Club Penguin: Elite Penguin Force    ,N/A  ,2008,DS,3.14
276,FIFA Soccer 08    ,N/A  ,2007,PS2,3.14
277,FIFA 18    ,N/A  ,2017,XOne,3.14
278,Spider-Man    ,N/A  ,2000,PS,3.13
279,Need for Speed III: Hot Pursuit    ,N/A  ,1998,PS,3.12
280,The Elder Scrolls IV: Oblivion    ,N/A  ,2007,PS3,3.12
281,Resident Evil 6    ,N/A  ,2012,PS3,3.12
282,Tom Clancy's Ghost Recon Wildlands    ,N/A  ,2017,PS4,3.12
283,NBA 2K13    ,N/A  ,2012,X360,3.11
284,Titanfall    ,N/A  ,2014,XOne,3.11
285,Mass Effect 2     ,8.9,2010,X360,3.10
286,Madden NFL 2002    ,N/A  ,2001,PS2,3.08
287,LEGO Batman: The Videogame    ,N/A  ,2008,Wii,3.08
288,Saints Row 2    ,N/A  ,2008,X360,3.07
289,The Sims: Vacation    ,N/A  ,2002,PC,3.07
290,Call of Duty: Ghosts    ,N/A  ,2013,XOne,3.07
291,Heavy Rain    ,8.6,2010,PS3,3.06
292,LEGO Batman: The Videogame    ,N/A  ,2008,DS,3.06
293,Borderlands 2    ,N/A  ,2013,X360,3.06
294,Kung Fu Panda    ,N/A  ,2008,X360,3.05
295,Mass Effect 3    ,N/A  ,2012,X360,3.04
296,Metal Gear Solid V: The Phantom Pain    ,N/A  ,2015,PS4,3.04
297,Rayman    ,N/A  ,1995,PS,3.03
298,Tom Clancy's Splinter Cell    ,9.1,2002,XB,3.02
299,WWE SmackDown! Shut Your Mouth    ,N/A  ,2002,PS2,3.02
300,Disney Epic Mickey    ,N/A  ,2010,Wii,3.02
301,Killzone 2    ,9.3,2009,PS3,3.02
302,WWE SmackDown! vs. Raw 2006    ,N/A  ,2005,PS2,3.00
303,The Sims: Livin Large    ,N/A  ,2000,PC,2.99
304,inFAMOUS    ,9.1,2009,PS3,2.99
305,World Soccer Winning Eleven 6 International    ,N/A  ,2003,PS2,2.99
306,Far Cry 3    ,N/A  ,2012,X360,2.98
307,Star Wars: The Old Republic    ,N/A  ,2011,PC,2.97
308,Battlefield: Bad Company 2    ,8.8,2010,PS3,2.96
309,Hitman 2: Silent Assassin    ,N/A  ,2002,PS2,2.96
310,Yokai Watch 2: Psychic Specters    ,N/A  ,2017,3DS,2.95
311,Street Fighter IV    ,9.3,2009,X360,2.95
312,SOCOM II: U.S. Navy SEALs    ,N/A  ,2003,PS2,2.94
313,WWE SmackDown! vs. RAW 2006    ,N/A  ,2005,PS2,2.94
314,Pac-Man Collection    ,N/A  ,2001,GBA,2.94
315,Madden NFL 13    ,N/A  ,2012,X360,2.93
316,Doom (2016)    ,N/A  ,2016,PS4,2.92
317,Mass Effect    ,9.1,2007,X360,2.91
318,FIFA 15    ,N/A  ,2014,X360,2.91
319,Mortal Kombat (2011)    ,N/A  ,2011,PS3,2.90
320,World Soccer Winning Eleven 7 International    ,N/A  ,2004,PS2,2.90
321,Sega Superstars Tennis    ,N/A  ,2008,X360,2.89
322,Cooking Mama: Cook Off    ,N/A  ,2007,Wii,2.89
323,Hot Shots Golf 3    ,N/A  ,2002,PS2,2.89
324,Call of Duty: Finest Hour    ,N/A  ,2004,PS2,2.89
325,Syphon Filter    ,N/A  ,1999,PS,2.88
326,Imagine: Babyz    ,N/A  ,2007,DS,2.87
327,Mafia III    ,N/A  ,2016,PS4,2.87
