,title,console,release_Date,tot_sale,Critic_Score,user_Score
1551,Vagrant Story,PS,2000.0,0.87,92.0,83.0
1552,Warriors Orochi,PS2,2007.0,0.87,55.0,82.0
1553,Crysis 3,PS3,2013.0,0.87,77.0,63.0
1554,Mercenaries 2: World in Flames,PS3,2008.0,0.87,72.0,71.0
1555,Ghostbusters: The Video Game,Wii,2009.0,0.86,76.0,85.0
1556,Guitar Hero Live,PS4,2015.0,0.86,80.0,62.0
1557,Endless Ocean: Blue World,Wii,2009.0,0.86,76.0,85.0
1558,Winning Eleven: Pro Evolution Soccer 2007,PSP,2006.0,0.86,81.0,83.0
1559,Rocky,PS2,2002.0,0.86,74.0,84.0
1560,Ford Racing,PS,2001.0,0.86,53.0,58.0
1561,Guitar Hero: Warriors of Rock,X360,2010.0,0.86,72.0,65.0
1562,Lemmings,PSP,2006.0,0.86,76.0,79.0
1563,Dynasty Warriors 4: Xtreme Legends,PS2,2003.0,0.86,72.0,91.0
1564,2010 FIFA World Cup South Africa,X360,2010.0,0.85,83.0,81.0
1565,Tomb Raider: Anniversary,Wii,2007.0,0.85,73.0,73.0
1566,NBA 2K8,X360,2007.0,0.85,81.0,70.0
1567,Tiger Woods PGA Tour 2005,XB,2004.0,0.85,88.0,89.0
1568,Kingdoms of Amalur: Reckoning,PS3,2012.0,0.85,81.0,76.0
1569,Dragon Ball Z: Burst Limit,PS3,2008.0,0.85,71.0,72.0
1570,Tekken Tag Tournament 2,PS3,2012.0,0.85,82.0,82.0
1571,Ninja Gaiden Sigma 2,PS3,2009.0,0.85,83.0,77.0
1572,Ratatouille,PS2,2007.0,0.85,65.0,80.0
1573,Burnout 2: Point of Impact,PS2,2002.0,0.85,86.0,82.0
1574,Wii Fit U,WiiU,2013.0,0.85,72.0,77.0
1575,Street Fighter EX3,PS2,2000.0,0.85,64.0,79.0
1576,The Legendary Starfy,DS,2008.0,0.85,75.0,84.0
1577,NCAA Football 11,PS3,2010.0,0.85,85.0,74.0
1578,The House of the Dead: Overkill,Wii,2009.0,0.85,78.0,87.0
1579,Army of Two: The 40th Day,PS3,2010.0,0.85,74.0,70.0
1580,Darksiders II,PS3,2012.0,0.84,84.0,71.0
1581,Spider-Man 2,GC,2004.0,0.84,80.0,88.0
1582,The Lord of the Rings: War in the North,X360,0.0,0.84,61.0,74.0
1583, Tales of Xillia 2,PS3,2012.0,0.84,71.0,79.0
1584,Ghostbusters: The Video Game,PS3,2009.0,0.84,78.0,79.0
1585,The Incredibles,GC,2004.0,0.84,63.0,71.0
1586,Xenoblade Chronicles X,WiiU,2015.0,0.84,84.0,89.0
1587,NBA 2K10,PS3,2009.0,0.84,83.0,78.0
1588,Skate 2,PS3,2009.0,0.84,84.0,78.0
1589,Big Mutha Truckers,PS2,2002.0,0.84,62.0,53.0
1590,Rogue Galaxy,PS2,2005.0,0.84,83.0,84.0
1591,ESPN College Hoops 2K5,PS2,2004.0,0.84,86.0,81.0
1592,NCAA Football 14,PS3,2013.0,0.84,77.0,62.0
1593,Harry Potter and the Order of the Phoenix,DS,2007.0,0.84,51.0,49.0
1594,Sniper Elite V2,X360,2012.0,0.84,67.0,68.0
1595,Metroid: Zero Mission,GBA,2004.0,0.84,89.0,90.0
1596,Burnout Legends,PSP,2005.0,0.84,86.0,84.0
1597,Blazing Angels: Squadrons of WWII,Wii,2007.0,0.83,57.0,67.0
1598,Madden NFL 09 All-Play,Wii,2008.0,0.83,82.0,72.0
1599,Dynasty Warriors 2,PS2,2000.0,0.83,75.0,88.0
1600,Madden NFL 07,PSP,0.0,0.83,78.0,66.0
1601,Time Crisis 4,PS3,2007.0,0.83,60.0,74.0
1602,Duke Nukem Forever,X360,2011.0,0.83,49.0,44.0
1603,Lizzie McGuire 2: Lizzie Diaries,GBA,2004.0,0.83,57.0,50.0
1604,NCAA Football 12,PS3,2011.0,0.83,82.0,58.0
1605,Brute Force,XB,2003.0,0.83,77.0,78.0
1606,Tiger Woods PGA Tour 11,PS3,2010.0,0.83,78.0,67.0
1607,WWE SmackDown vs. Raw 2009,Wii,2008.0,0.83,79.0,85.0
1608,Sly 3: Honor Among Thieves,PS2,2005.0,0.83,83.0,88.0
1609,MLB SlugFest 20-03,PS2,0.0,0.83,77.0,82.0
1610,Need for Speed: Nitro,Wii,2009.0,0.83,69.0,74.0
1611,Street Fighter X Tekken,PS3,2012.0,0.83,84.0,53.0
1612,Sid Meier's Civilization Revolution,X360,2008.0,0.83,84.0,78.0
1613,Tales of the Abyss,3DS,2011.0,0.83,75.0,76.0
1614,Dragon Age II,PS3,2011.0,0.83,82.0,43.0
1615,Call of Duty: Modern Warfare 3,Wii,2011.0,0.82,70.0,18.0
1616,James Bond 007: Nightfire,XB,2002.0,0.82,78.0,78.0
1617,Tony Hawk's Pro Skater 3,GC,2001.0,0.82,91.0,90.0
1618,Marvel: Ultimate Alliance,PS2,2006.0,0.82,81.0,82.0
1619,DJ Hero 2,X360,2010.0,0.82,86.0,79.0
1620,Harvest Moon: Tree of Tranquility,Wii,2007.0,0.82,65.0,82.0
1621,Tony Hawk's Underground 2 Remix,PSP,2005.0,0.82,83.0,80.0
1622,Need for Speed: Hot Pursuit 2,XB,2002.0,0.82,75.0,64.0
1623,Amped: Freestyle Snowboarding,XB,2001.0,0.82,78.0,90.0
1624,Stranglehold,X360,2007.0,0.82,77.0,76.0
1625,Shin Megami Tensei: Persona 4,PS2,2008.0,0.82,90.0,89.0
1626,Devil May Cry HD Collection,PS3,2012.0,0.82,74.0,88.0
1627,The Lord of the Rings: War in the North,PS3,0.0,0.82,63.0,70.0
1628,Dance Central 3,X360,2012.0,0.81,86.0,80.0
1629,Tales of Destiny II,PS,2000.0,0.81,78.0,87.0
1630,NASCAR 2001,PS,2000.0,0.81,73.0,61.0
1631,The Legend of Zelda: Four Swords Adventures,GC,2004.0,0.81,86.0,72.0
1632,MediEvil: Resurrection,PSP,2005.0,0.81,66.0,87.0
1633,Valkyrie Profile,PS,1999.0,0.81,81.0,88.0
1634,Shaun White Snowboarding,X360,0.0,0.81,60.0,76.0
1635,Patapon,PSP,2007.0,0.81,86.0,87.0
1636,Pro Evolution Soccer 2010,X360,2009.0,0.81,78.0,76.0
1637,Tom Clancy's Rainbow Six 3,PS2,2004.0,0.81,70.0,82.0
1638,Madden NFL 25,XOne,2013.0,0.81,73.0,59.0
1639,NCAA Football 10,PS3,2009.0,0.81,80.0,69.0
1640,Guitar Hero: Warriors of Rock,PS3,2010.0,0.81,74.0,71.0
1641,The Sims 2,PS2,2005.0,0.81,75.0,44.0
1642,Dragon Ball: Raging Blast 2,PS3,2010.0,0.81,60.0,75.0
1643,Yakuza,PS2,2005.0,0.8,75.0,82.0
1644,Star Wars Rogue Squadron III: Rebel Strike,GC,2003.0,0.8,75.0,76.0
1645,Hitman: Contracts,PS2,2004.0,0.8,80.0,83.0
1646,Professor Layton vs Phoenix Wright: Ace Attorney,3DS,2012.0,0.8,79.0,85.0
1647,Ben 10: Alien Force,Wii,2008.0,0.8,45.0,78.0
1648,Final Fantasy Anthology,PS,1999.0,0.8,80.0,81.0
1649,DiRT 2,X360,2009.0,0.8,87.0,82.0
1650,Prince of Persia: Warrior Within,XB,2004.0,0.8,83.0,75.0
1651,Killzone: Mercenary,PSV,2013.0,0.8,78.0,89.0
1652,Pro Evolution Soccer 2010,PSP,2009.0,0.8,72.0,46.0
1653,Guitar Hero: Metallica,X360,2009.0,0.8,84.0,81.0
1654,Final Fantasy X / X-2 HD Remaster,PSV,2013.0,0.8,86.0,85.0
1655,Need for Speed: Hot Pursuit 2,GC,2002.0,0.8,68.0,83.0
1656,Rayman Raving Rabbids 2,DS,2007.0,0.8,57.0,70.0
1657,The Sims 2: Pets,PSP,2006.0,0.79,57.0,73.0
1658,Dragon Ball Z: Budokai Tenkaichi 2,PS2,2006.0,0.79,73.0,86.0
1659,Guitar Hero: Aerosmith,PS2,2008.0,0.79,71.0,63.0
1660,Star Wars The Clone Wars: Republic Heroes,Wii,2009.0,0.79,48.0,64.0
1661,pro evolution soccer 2011,PSP,2010.0,0.79,74.0,58.0
1662,Harvest Moon: A Wonderful Life,GC,2003.0,0.79,79.0,89.0
1663,DmC: Devil May Cry,PS3,2013.0,0.79,85.0,53.0
1664,Motocross Mania,PS,2001.0,0.79,34.0,53.0
1665,Darksiders II,X360,2012.0,0.79,83.0,80.0
1666,Need for Speed Rivals,X360,2013.0,0.79,76.0,54.0
1667,[Prototype 2],X360,2012.0,0.79,74.0,70.0
1668,Armored Core 2,PS2,2000.0,0.79,78.0,84.0
1669,The Godfather II,X360,2009.0,0.79,65.0,69.0
1670,Dragon's Dogma,X360,2012.0,0.79,75.0,78.0
1671,Pro Evolution Soccer 2016,PS4,2015.0,0.79,87.0,71.0
1672,Rare Replay,XOne,2015.0,0.79,84.0,77.0
1673,Band Hero,X360,2009.0,0.79,76.0,50.0
1674,NCAA Football 08,PS2,2007.0,0.79,83.0,83.0
1675,FIFA Soccer 2004,XB,2003.0,0.79,82.0,82.0
1676,The Sims 2: Castaway,PSP,2007.0,0.79,64.0,73.0
1677,Star Ocean: The Last Hope,X360,2009.0,0.79,72.0,72.0
1678,Sniper: Ghost Warrior,PS3,2011.0,0.79,53.0,60.0
1679,Invizimals,PSP,2009.0,0.79,69.0,73.0
1680,WWE 2K15,PS3,2014.0,0.78,55.0,31.0
1681,Too Human,X360,2008.0,0.78,65.0,70.0
1682,Tiger Woods PGA Tour 10,PS3,2009.0,0.78,81.0,77.0
1683,Tom Clancy's Splinter Cell: Double Agent,X360,2006.0,0.78,85.0,81.0
1684,Naruto Shippuden: Ultimate Ninja Storm 2,X360,2010.0,0.78,74.0,85.0
1685,Golden Sun: Dark Dawn,DS,2010.0,0.78,79.0,81.0
1686,Fight Night Champion,X360,2011.0,0.78,86.0,74.0
1687,Dead Island: Riptide,X360,2013.0,0.78,57.0,63.0
1688,Star Wars The Clone Wars: Jedi Alliance,DS,2008.0,0.78,68.0,78.0
1689,The World Ends With You,DS,2007.0,0.78,88.0,89.0
1690,Drawn to Life,DS,2007.0,0.78,73.0,82.0
1691,Sid Meier's Civilization Revolution,PS3,2008.0,0.78,85.0,77.0
1692,NBA 2K7,PS2,2006.0,0.78,81.0,84.0
1693,James Bond 007: Nightfire,GC,2002.0,0.78,80.0,86.0
1694,Goldeneye 007: Reloaded,PS3,2011.0,0.78,72.0,63.0
1695,Rayman Origins,X360,2011.0,0.78,87.0,82.0
1696,Aliens: Colonial Marines,X360,2013.0,0.77,48.0,38.0
1697,Lips,X360,2008.0,0.77,71.0,74.0
1698,MadWorld,Wii,2009.0,0.77,81.0,86.0
1699,Need for Speed: ProStreet,PSP,2008.0,0.77,57.0,71.0
1700,Perfect Dark Zero,X360,2005.0,0.77,81.0,73.0
1701,Marvel Nemesis: Rise of the Imperfects,PS2,2005.0,0.77,53.0,63.0
1702,Need for Speed: Porsche Unleashed,PS,1999.0,0.77,78.0,85.0
1703,Resident Evil: Operation Raccoon City,X360,2012.0,0.77,52.0,49.0
1704,UFC Personal Trainer: The Ultimate Fitness System,X360,2011.0,0.77,70.0,65.0
1705,Worms: Open Warfare,PSP,2006.0,0.77,70.0,66.0
1706,Star Wars Episode II: Attack of the Clones,GBA,2002.0,0.77,38.0,50.0
1707,Ghost Squad,Wii,2007.0,0.77,69.0,75.0
1708,Maximo: Ghosts to Glory,PS2,2001.0,0.77,84.0,87.0
1709,Donkey Kong Country 3,GBA,2005.0,0.77,77.0,84.0
1710,All-Star Baseball 2003,PS2,2002.0,0.77,81.0,84.0
1711,Unlimited Saga,PS2,2002.0,0.77,45.0,30.0
1712,Pokemon Dash,DS,2004.0,0.77,46.0,59.0
1713,Dragon Ball: Raging Blast,PS3,2009.0,0.77,57.0,72.0
1714,Twisted Metal: Head On,PSP,2005.0,0.77,79.0,82.0
1715,Sonic Unleashed,PS2,2008.0,0.76,66.0,67.0
1716,Driv3r,XB,2004.0,0.76,56.0,47.0
1717,ISS Pro Evolution,PS,1998.0,0.76,94.0,87.0
1718,Need For Speed: Undercover,PSP,2008.0,0.76,52.0,68.0
1719,Metroid Prime Hunters,DS,2006.0,0.76,85.0,80.0
1720,Bayonetta 2,WiiU,2014.0,0.76,91.0,82.0
1721,Star Wars Battlefront: Elite Squadron,PSP,2009.0,0.76,63.0,80.0
1722,Syphon Filter: The Omega Strain,PS2,2004.0,0.76,65.0,69.0
1723,The Sims 3,3DS,2011.0,0.76,52.0,33.0
1724,Mortal Kombat: Deception,XB,2004.0,0.76,81.0,88.0
1725,That's So Raven,GBA,2004.0,0.76,39.0,76.0
1726,DJ Hero,Wii,2009.0,0.76,87.0,76.0
1727,Portal 2,PC,2011.0,0.76,95.0,88.0
1728,Duke Nukem Forever,PS3,2011.0,0.76,51.0,49.0
1729,Star Wars: The Force Unleashed II,Wii,2010.0,0.76,71.0,78.0
1730,Harry Potter and the Half-Blood Prince,Wii,2009.0,0.75,60.0,60.0
1731,Wall-E,PS2,2008.0,0.75,67.0,84.0
1732,Professor Layton and the Azran Legacy,3DS,2013.0,0.75,81.0,79.0
1733,Mega Man X5,PS,2000.0,0.75,76.0,89.0
1734,Titanfall 2,PS4,2016.0,0.75,89.0,84.0
1735,Genji: Days of the Blade,PS3,2006.0,0.75,55.0,58.0
1736,Metal Gear Solid V: The Phantom Pain,XOne,2015.0,0.75,95.0,73.0
1737,Rockstar Games presents Table Tennis,X360,2006.0,0.75,81.0,78.0
1738,Drawn to Life: The Next Chapter,Wii,2009.0,0.75,58.0,60.0
1739,PokePark 2: Wonders Beyond,Wii,2011.0,0.75,60.0,70.0
1740,DJ Hero 2,PS3,2010.0,0.75,86.0,78.0
1741,WWE SmackDown vs. Raw 2009,PSP,2008.0,0.75,72.0,60.0
1742,LEGO Batman 2: DC Super Heroes,3DS,2012.0,0.75,72.0,52.0
1743,SoulCalibur V,PS3,2012.0,0.75,81.0,67.0
1744,Shark Tale,PS2,2004.0,0.75,69.0,65.0
1745,Zone of the Enders,PS2,2001.0,0.75,78.0,74.0
1746,Pro Evolution Soccer 2015,PS4,2014.0,0.75,82.0,72.0
1747,Tony Hawk's Underground 2,XB,2004.0,0.75,83.0,78.0
1748,Madden NFL 06,PSP,2005.0,0.75,75.0,79.0
1749,Raving Rabbids: Travel in Time,Wii,2010.0,0.75,62.0,76.0
1750,Capcom vs. SNK 2: Mark of the Millennium 2001,PS2,2001.0,0.75,81.0,79.0
1751,MVP 06 NCAA Baseball,PS2,2006.0,0.75,76.0,90.0
1752,Turok,X360,2008.0,0.75,69.0,71.0
1753,Coded Arms,PSP,2005.0,0.75,59.0,65.0
1754,Final Fantasy Tactics A2: Grimoire of the Rift,DS,2007.0,0.75,80.0,69.0
1755,The Lord of the Rings: Conquest,PS3,2009.0,0.74,54.0,71.0
1756,Band Hero,PS3,2009.0,0.74,76.0,57.0
1757,Burnout,PS2,2001.0,0.74,79.0,77.0
1758,Spectrobes,DS,2007.0,0.74,63.0,79.0
1759,The Godfather II,PS3,2009.0,0.74,67.0,72.0
1760,Mortal Kombat: Unchained,PSP,2006.0,0.74,70.0,88.0
1761,Need for Speed: Shift,PSP,2009.0,0.74,69.0,65.0
1762,Dark Souls II,X360,2014.0,0.74,91.0,79.0
1763,Assassin's Creed: Revelations,PC,2011.0,0.74,80.0,74.0
1764,[Prototype 2],PS3,2012.0,0.74,79.0,68.0
1765,Midnight Club 3: DUB Edition,XB,2005.0,0.74,84.0,74.0
1766,Resident Evil: Revelations,PS3,2013.0,0.74,74.0,72.0
1767,Tom Clancy's Rainbow Six: Vegas,PSP,2007.0,0.74,60.0,71.0
1768,Red Faction: Guerrilla,PS3,2009.0,0.74,85.0,81.0
1769,Ace Combat: Assault Horizon,PS3,2011.0,0.74,77.0,67.0
1770,Unreal Championship,XB,2002.0,0.74,83.0,82.0
1771,Crysis 2,PC,2011.0,0.74,86.0,68.0
1772,Tales of Vesperia,X360,2008.0,0.74,79.0,82.0
1773,MLB 13: The Show,PS3,2013.0,0.74,87.0,78.0
1774,LEGO Marvel Super Heroes,WiiU,2013.0,0.74,82.0,80.0
1775,Namco Museum Remix,Wii,2007.0,0.74,49.0,63.0
1776,Sword of Mana,GBA,2003.0,0.74,72.0,83.0
1777,Marvel: Ultimate Alliance 2,PS3,2009.0,0.73,74.0,73.0
1778,Dragon Age: Inquisition,PC,2014.0,0.73,85.0,59.0
1779,Resonance of Fate,PS3,2010.0,0.73,72.0,80.0
1780,Pirates of the Caribbean: At World's End,PS3,2007.0,0.73,55.0,69.0
1781,Tiger Woods PGA Tour 08,PS3,2007.0,0.73,79.0,66.0
1782,Classic NES Series: Donkey Kong,GBA,2004.0,0.73,55.0,48.0
1783,Harvest Moon: Animal Parade,Wii,2008.0,0.73,76.0,89.0
1784,WWE SmackDown vs. Raw 2010,Wii,2009.0,0.73,78.0,77.0
1785,Style Savvy: Trendsetters,3DS,2012.0,0.73,76.0,80.0
1786,Final Fantasy XIII-2,X360,2011.0,0.73,79.0,63.0
1787,Oddworld: Munch's Oddysee,XB,2001.0,0.73,80.0,87.0
1788,Persona 4: Arena,PS3,2012.0,0.73,86.0,77.0
1789,Brink,PS3,2011.0,0.73,72.0,58.0
1790,NHL 11,X360,2010.0,0.73,88.0,77.0
1791,NCAA Football 07,X360,2006.0,0.73,79.0,69.0
1792,Full Spectrum Warrior,XB,2004.0,0.73,84.0,87.0
1793,LEGO Marvel's Avengers,PS4,2016.0,0.73,71.0,70.0
1794,Katamari Damacy,PS2,2004.0,0.73,86.0,90.0
1795,Just Dance 2015,WiiU,2014.0,0.73,75.0,66.0
1796,LEGO Dimensions,PS4,2015.0,0.73,80.0,71.0
1797,Naruto Shippuden: Ultimate Ninja Storm Generations,PS3,2012.0,0.73,74.0,71.0
1798,Shaun Palmer's Pro Snowboarder,PS2,2001.0,0.73,64.0,87.0
1799,James Bond 007: Agent Under Fire,GC,2002.0,0.72,74.0,68.0
1800,Harvest Moon DS: Island of Happiness,DS,2007.0,0.72,65.0,70.0
1801,Star Wars Episode III: Revenge of the Sith,GBA,2005.0,0.72,73.0,75.0
1802,Ultimate Spider-Man,PS2,2005.0,0.72,74.0,79.0
1803,Monopoly Streets,Wii,2010.0,0.72,65.0,52.0
1804,Total War: Rome II,PC,2013.0,0.72,76.0,42.0
1805,NBA Live 08,PS2,2007.0,0.72,68.0,66.0
1806,Star Ocean: The Last Hope International,PS3,2010.0,0.72,74.0,67.0
1807,Dead to Rights,XB,2002.0,0.72,73.0,89.0
1808,Indiana Jones and the Staff of Kings,Wii,2009.0,0.72,55.0,70.0
1809,Tiger Woods PGA Tour 07,PS2,2006.0,0.72,79.0,60.0
1810,Major League Baseball 2K7,X360,2007.0,0.72,79.0,71.0
1811,Persona Q: Shadow of the Labyrinth,3DS,2014.0,0.72,83.0,81.0
1812,MLB 14: The Show,PS4,2014.0,0.72,83.0,77.0
1813,X-Men: Mutant Academy 2,PS,2001.0,0.72,72.0,84.0
1814,Kirby: Canvas Curse,DS,2005.0,0.72,86.0,82.0
1815,Madden NFL 10,Wii,2009.0,0.72,77.0,72.0
1816,MLB 09: The Show,PS3,2009.0,0.72,90.0,81.0
1817,Borderlands: The Pre-Sequel,X360,2014.0,0.72,74.0,64.0
1818,Madden NFL 11,Wii,0.0,0.72,75.0,54.0
1819,Super Monkey Ball Jr.,GBA,2002.0,0.72,82.0,86.0
1820,The Witcher 3: Wild Hunt,PC,2015.0,0.72,93.0,93.0
1821,F1 2011,X360,2011.0,0.72,84.0,71.0
1822,Mobile Suit Gundam: Encounters in Space,PS2,2003.0,0.72,66.0,85.0
1823,MLB 10: The Show,PS3,2010.0,0.72,91.0,83.0
1824,MX vs. ATV Reflex,X360,2009.0,0.72,75.0,66.0
1825,Blur,PS3,2010.0,0.72,81.0,82.0
1826,Battlefield: Bad Company 2,PC,2010.0,0.72,87.0,83.0
1827,DiRT 3,X360,2011.0,0.72,87.0,71.0
1828,The Lord of the Rings: The Two Towers,XB,2002.0,0.71,79.0,81.0
1829,Madden NFL 2003,XB,2002.0,0.71,92.0,83.0
1830,Skate,X360,2007.0,0.71,86.0,84.0
1831,XCOM: Enemy Unknown,PC,2012.0,0.71,89.0,82.0
1832,Ben 10: Protector of Earth,PSP,2007.0,0.71,60.0,72.0
1833,Virtua Fighter 4: Evolution,PS2,2003.0,0.71,93.0,90.0
1834,Crysis,PC,2007.0,0.71,91.0,80.0
1835,Resident Evil: Survivor,PS,2000.0,0.71,39.0,70.0
1836,The Sims 2: Castaway,DS,2007.0,0.71,66.0,40.0
1837,Godzilla: Destroy All Monsters Melee,GC,2002.0,0.71,73.0,78.0
1838,Silent Hill 3,PS2,2003.0,0.71,85.0,88.0
1839,Spyro: Enter the Dragonfly,GC,2002.0,0.71,48.0,51.0
1840,Power Rangers: Dino Thunder,PS2,2004.0,0.71,49.0,62.0
1841,Madden NFL 08,PSP,2007.0,0.71,75.0,68.0
1842,Madden NFL 09,PSP,2008.0,0.71,68.0,65.0
1843,NBA Live 09,X360,2008.0,0.71,77.0,74.0
1844,Dragon Ball: Xenoverse 2,PS4,2016.0,0.71,73.0,78.0
1845,Dynasty Warriors 6,PS3,2007.0,0.71,59.0,73.0
1846,NCAA Football 09,X360,2008.0,0.71,83.0,77.0
1847,Doom 3: Resurrection of Evil,XB,2005.0,0.71,77.0,79.0
1848,SSX,X360,2012.0,0.7,82.0,64.0
1849,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007.0,0.7,65.0,59.0
1850,Two Worlds,X360,2007.0,0.7,50.0,55.0
1851,Tony Hawk's Underground,GC,2003.0,0.7,89.0,85.0
1852,Spider-Man 2,PSP,2005.0,0.7,67.0,69.0
1853,NCAA Football 08,X360,2007.0,0.7,81.0,78.0
1854,Skylanders: Trap Team,WiiU,2014.0,0.7,86.0,71.0
1855,Star Wars: Obi-Wan,XB,2001.0,0.7,58.0,59.0
1856,Ace Attorney Investigations: Miles Edgeworth,DS,2009.0,0.7,78.0,84.0
1857,Kill.Switch,PS2,2003.0,0.7,73.0,83.0
1858,Catherine,PS3,2011.0,0.7,79.0,81.0
1859,SplashDown,PS2,2001.0,0.7,84.0,82.0
1860,Jade Empire,XB,2005.0,0.7,89.0,86.0
1861,Infinite Undiscovery,X360,2008.0,0.7,68.0,70.0
1862,Lego Star Wars: The Force Awakens,PS4,2016.0,0.7,78.0,75.0
1863,NHL 12,X360,2011.0,0.7,86.0,70.0
1864,Advance Wars,GBA,2001.0,0.7,92.0,90.0
1865,NASCAR 2001,PS2,2000.0,0.7,66.0,66.0
1866,Mafia,PS2,2004.0,0.7,65.0,76.0
1867,Ape Escape: On the Loose,PSP,2005.0,0.7,66.0,64.0
1868,Mobile Suit Gundam: Journey to Jaburo,PS2,2000.0,0.7,58.0,81.0
1869,MLB 08: The Show,PS3,2008.0,0.7,85.0,87.0
1870,TimeSplitters 2,PS2,2002.0,0.7,90.0,88.0
1871,Omerta: City of Gangsters,X360,2011.0,0.7,43.0,33.0
1872,Driver: San Francisco,X360,2011.0,0.7,80.0,76.0
1873,Classic NES Series: Zelda II: The Adventure of Link,GBA,2004.0,0.7,73.0,75.0
1874,James Bond 007: Blood Stone,PS3,2010.0,0.7,65.0,74.0
1875,Metal Gear Solid: Portable Ops Plus,PSP,2007.0,0.69,65.0,75.0
1876,LEGO Rock Band,Wii,2009.0,0.69,70.0,68.0
1877,Halo 2 Multiplayer Map Pack,XB,2005.0,0.69,89.0,74.0
1878,Mortal Kombat: Shaolin Monks,PS2,2005.0,0.69,77.0,86.0
1879,MotionSports,X360,2010.0,0.69,40.0,44.0
1880,MX vs. ATV Unleashed: On the Edge,PSP,2006.0,0.69,68.0,81.0
1881,Mario Pinball Land,GBA,2004.0,0.69,62.0,49.0
1882,Dragon Ball Z: Budokai,GC,2003.0,0.69,65.0,63.0
1883,Plants vs. Zombies: Garden Warfare,XOne,2014.0,0.69,76.0,74.0
1884,Need for Speed Rivals,XOne,2013.0,0.69,75.0,58.0
1885,The Sims 2: Apartment Pets,DS,2008.0,0.69,50.0,33.0
1886,Harry Potter and the Chamber of Secrets,GC,2002.0,0.69,77.0,83.0
1887,Prince of Persia: The Forgotten Sands,PS3,2010.0,0.69,75.0,76.0
1888,The Lord of the Rings: The Return of the King,GC,2003.0,0.69,84.0,85.0
1889,The Sims: Medieval,PC,2011.0,0.69,77.0,61.0
1890,Top Spin 4,PS3,2011.0,0.69,82.0,77.0
1891,Baldur's Gate: Dark Alliance II,PS2,2004.0,0.68,78.0,87.0
1892,Shark Tale,GBA,2004.0,0.68,63.0,90.0
1893,IL-2 Sturmovik: Birds of Prey,PS3,2009.0,0.68,81.0,73.0
1894,Test Drive Unlimited 2,X360,0.0,0.68,68.0,64.0
1895,NBA Street Vol. 2,XB,2003.0,0.68,89.0,88.0
1896,MX vs. ATV Untamed,X360,2007.0,0.68,70.0,71.0
1897,The Last Remnant,X360,2008.0,0.68,66.0,69.0
1898,NCAA Football 2005,XB,2004.0,0.68,89.0,80.0
1899,The Sly Collection,PS3,2010.0,0.68,85.0,88.0
1900,Naruto: Clash of Ninja,GC,2003.0,0.68,72.0,81.0
1901,Sniper Elite 3,PS4,2014.0,0.68,67.0,71.0
1902,Prince of Persia: The Two Thrones,PS2,2005.0,0.68,85.0,85.0
1903,Hot Shots Golf: Open Tee 2,PSP,2007.0,0.68,82.0,86.0
1904,Suikoden II,PS,1998.0,0.68,82.0,84.0
1905,Iron Man,PS3,2008.0,0.68,42.0,62.0
1906,FIFA Soccer 06,XB,2005.0,0.68,80.0,75.0
1907,Fight Night 2004,XB,2004.0,0.68,85.0,87.0
1908,.hack//Mutation Part 2,PS2,2002.0,0.68,76.0,89.0
1909,Wolfenstein: The New Order,XOne,2014.0,0.68,79.0,78.0
1910,Cars: Mater-National Championship,DS,2007.0,0.68,69.0,68.0
1911,Kirby's Dream Collection: Special Edition,Wii,2012.0,0.67,82.0,88.0
1912,Return to Castle Wolfenstein: Tides of War,XB,2003.0,0.67,84.0,88.0
1913,RIFT,PC,2011.0,0.67,84.0,73.0
1914,Spider-Man 3,PS3,2007.0,0.67,60.0,70.0
1915,Mass Effect,PC,2008.0,0.67,89.0,86.0
1916,The Evil Within,XOne,2014.0,0.67,79.0,73.0
1917,Armored Core 3,PS2,2002.0,0.67,74.0,90.0
1918,Star Wars: Republic Commando,XB,2005.0,0.67,78.0,89.0
1919,The LEGO Movie Videogame,PS4,2014.0,0.67,71.0,71.0
1920,Turok,PS3,2008.0,0.67,67.0,60.0
1921,Terraria,X360,2013.0,0.67,81.0,72.0
1922,Red Steel,Wii,2006.0,0.67,63.0,68.0
1923,Unreal Tournament III,PS3,2007.0,0.67,86.0,77.0
1924,Fossil Fighters: Champions,DS,2010.0,0.67,68.0,71.0
1925,The Sims 3,DS,2010.0,0.67,73.0,64.0
1926,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",GBA,0.0,0.67,66.0,68.0
1927,NFL Street,XB,2004.0,0.66,81.0,88.0
1928,Final Fantasy Crystal Chronicles: Ring of Fates,DS,2007.0,0.66,77.0,72.0
1929,Bakugan: Battle Brawlers,Wii,2009.0,0.66,62.0,72.0
1930,Blazing Angels: Squadrons of WWII,PS3,2006.0,0.66,67.0,69.0
1931,WWE SmackDown vs. RAW 2007,PSP,2006.0,0.66,78.0,81.0
1932,F1 2015,PS4,2015.0,0.66,65.0,63.0
1933,Tony Hawk's Proving Ground,PS2,2007.0,0.66,65.0,66.0
1934,The Darkness,PS3,2007.0,0.66,80.0,77.0
1935,MLB 2004,PS2,2003.0,0.66,61.0,79.0
1936,Darkstone,PS,2001.0,0.66,58.0,83.0
1937,NCAA March Madness 2003,PS2,2002.0,0.66,74.0,80.0
1938,Thrillville,PS2,2006.0,0.66,69.0,29.0
