,title,console,release_Date,tot_sale,Critic_Score,user_Score
93,Super Mario Sunshine,GC,2002.0,6.31,92.0,86.0
94,World of Warcraft,PC,2004.0,6.29,93.0,73.0
95,Driver,PS,1999.0,6.27,87.0,81.0
96,Gears of War 3,X360,2011.0,6.21,91.0,78.0
97,Kinect Sports,X360,2010.0,6.19,73.0,74.0
98,Gears of War,X360,2006.0,6.09,94.0,83.0
99,FIFA 15,PS4,2014.0,6.08,82.0,57.0
100,Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,6.05,96.0,87.0
101,Metal Gear Solid,PS,1998.0,6.03,94.0,94.0
102,Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,5.99,94.0,87.0
103,Final Fantasy XII,PS2,2006.0,5.95,92.0,76.0
104,The Last of Us,PS3,2013.0,5.87,95.0,91.0
105,LittleBigPlanet,PS3,2008.0,5.82,95.0,68.0
106,Resident Evil 2,PS,1998.0,5.82,89.0,92.0
107,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,5.78,87.0,88.0
108,Tekken 2,PS,1996.0,5.74,89.0,89.0
109,Destiny,PS4,2014.0,5.64,76.0,61.0
110,LEGO Star Wars: The Complete Saga,Wii,2007.0,5.64,80.0,89.0
111,Cooking Mama,DS,2006.0,5.63,67.0,72.0
112,Assassin's Creed II,PS3,2009.0,5.55,91.0,86.0
113,Assassin's Creed,X360,2007.0,5.54,81.0,77.0
114,Forza Motorsport 3,X360,2009.0,5.49,92.0,80.0
115,Super Mario Advance,GBA,2001.0,5.49,84.0,78.0
116,Monster Hunter Freedom Unite,PSP,2008.0,5.48,81.0,87.0
117,Batman: Arkham City,PS3,2011.0,5.48,96.0,86.0
118,Grand Theft Auto V,XOne,2014.0,5.48,97.0,79.0
119,Mario Kart: Super Circuit,GBA,2001.0,5.47,93.0,83.0
120,Crash Bandicoot: The Wrath of Cortex,PS2,2001.0,5.42,66.0,71.0
121,Call of Duty: World at War,PS3,2008.0,5.39,85.0,76.0
122,Uncharted 4: A Thief's End,PS4,2016.0,5.38,93.0,79.0
123,Final Fantasy XIII,PS3,2009.0,5.33,83.0,73.0
124,Final Fantasy IX,PS,2000.0,5.3,94.0,89.0
125,Assassin's Creed III,X360,2012.0,5.29,84.0,67.0
126,Final Fantasy X-2,PS2,2003.0,5.29,85.0,66.0
127,Call of Duty: Advanced Warfare,XOne,2014.0,5.27,81.0,54.0
128,Assassin's Creed II,X360,2009.0,5.26,90.0,88.0
129,Madden NFL 2004,PS2,0.0,5.23,94.0,85.0
130,New Super Mario Bros. U,WiiU,2012.0,5.22,84.0,81.0
131,Dragon Quest VIII: Journey of the Cursed King,PS2,2004.0,5.21,89.0,88.0
132,Professor Layton and the Curious Village,DS,2007.0,5.19,85.0,86.0
133,FIFA Soccer 13,X360,2012.0,5.16,90.0,61.0
134,Diablo III,PC,2012.0,5.14,88.0,40.0
135,Medal of Honor: Rising Sun,PS2,2003.0,5.13,68.0,76.0
136,Guitar Hero II,PS2,2006.0,5.12,92.0,85.0
137,Fable III,X360,2010.0,5.1,80.0,65.0
138,Resident Evil 5,PS3,2009.0,5.09,84.0,75.0
139,The Legend of Zelda: Phantom Hourglass,DS,2007.0,5.08,90.0,80.0
140,FIFA Soccer 11,PS3,2010.0,5.07,89.0,80.0
141,Resident Evil,PS,1996.0,5.05,91.0,90.0
142,Grand Theft Auto: Vice City Stories,PSP,2006.0,5.03,86.0,80.0
143,Tony Hawk's Pro Skater,PS,1999.0,5.02,92.0,92.0
144,Guitar Hero III: Legends of Rock,PS2,2007.0,4.98,82.0,82.0
145,Link's Crossbow Training,Wii,2007.0,4.98,68.0,71.0
146,Fallout 3,X360,2008.0,4.93,93.0,85.0
147,Uncharted: Drake's Fortune,PS3,2007.0,4.92,88.0,81.0
148,Madden NFL 06,PS2,2005.0,4.91,88.0,80.0
149,StarCraft II: Wings of Liberty,PC,2010.0,4.84,93.0,82.0
150,Assassin's Creed,PS3,2007.0,4.82,81.0,73.0
151,God of War III,PS3,2010.0,4.8,92.0,87.0
152,Crash Team Racing,PS,1999.0,4.79,88.0,90.0
153,LEGO Star Wars: The Complete Saga,DS,2007.0,4.76,80.0,54.0
154,Driver 2,PS,2000.0,4.73,62.0,77.0
155,Batman: Arkham City,X360,2011.0,4.73,94.0,87.0
156,Tony Hawk's Pro Skater 2,PS,2000.0,4.68,98.0,77.0
157,The Lord of the Rings: The Two Towers,PS2,2002.0,4.67,82.0,82.0
158,Tomb Raider,PS,1996.0,4.63,91.0,86.0
159,Animal Crossing: City Folk,Wii,2008.0,4.62,73.0,76.0
160,Uncharted: The Nathan Drake Collection,PS4,2015.0,4.62,86.0,81.0
161,The Legend of Zelda: The Wind Waker,GC,2002.0,4.6,96.0,89.0
162,Guitar Hero III: Legends of Rock,Wii,2007.0,4.6,86.0,84.0
163,Luigi's Mansion: Dark Moon,3DS,2013.0,4.59,86.0,84.0
164,Forza Motorsport 4,X360,2011.0,4.57,91.0,82.0
165,Madden NFL 2005,PS2,2004.0,4.53,91.0,79.0
166,Guitar Hero III: Legends of Rock,X360,2007.0,4.53,85.0,79.0
167,Madden NFL 07,PS2,2006.0,4.49,84.0,82.0
168,Halo 5: Guardians,XOne,2015.0,4.48,84.0,64.0
169,Spider-Man: The Movie,PS2,2002.0,4.48,76.0,79.0
170,Call of Duty: Infinite Warfare,PS4,2016.0,4.46,77.0,34.0
171,God of War,PS2,2005.0,4.45,94.0,89.0
172,Splatoon,WiiU,2015.0,4.43,81.0,85.0
173,Nintendo Land,WiiU,2012.0,4.42,77.0,79.0
174,Tony Hawk's Pro Skater 3,PS2,2001.0,4.41,97.0,75.0
175,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006.0,4.39,86.0,89.0
176,The Elder Scrolls IV: Oblivion,X360,2006.0,4.38,94.0,87.0
177,Need for Speed: Most Wanted,PS2,2005.0,4.37,82.0,91.0
178,Michael Jackson: The Experience,Wii,2010.0,4.36,56.0,83.0
179,Resistance: Fall of Man,PS3,2006.0,4.34,86.0,81.0
180,Kingdom Hearts II,PS2,2005.0,4.33,87.0,90.0
181,Super Mario 3D World,WiiU,2013.0,4.32,93.0,90.0
182,Fable II,X360,2008.0,4.27,89.0,65.0
183,Namco Museum,GBA,2001.0,4.24,79.0,73.0
184,Batman: Arkham Asylum,PS3,2009.0,4.23,91.0,89.0
185,Metal Gear Solid 3: Snake Eater,PS2,2004.0,4.23,91.0,93.0
186,Assassin's Creed: Revelations,PS3,2011.0,4.22,80.0,75.0
187,Fallout 4,XOne,2015.0,4.22,88.0,62.0
188,FIFA 14,X360,2013.0,4.22,84.0,42.0
189,Daxter,PSP,2006.0,4.21,85.0,87.0
190,FIFA Soccer 06,PS2,2005.0,4.21,80.0,78.0
191,EyeToy Play,PS2,2003.0,4.2,80.0,75.0
192,Gran Turismo 5 Prologue,PS3,2007.0,4.19,80.0,71.0
193,Assassin's Creed: Revelations,X360,2011.0,4.19,80.0,72.0
194,Street Fighter IV,PS3,2009.0,4.16,94.0,73.0
195,Madden NFL 2003,PS2,2002.0,4.14,95.0,77.0
196,Half-Life,PC,1997.0,4.12,96.0,91.0
197,World of Warcraft: The Burning Crusade,PC,2007.0,4.09,91.0,79.0
198,Battlefield 1,PS4,2016.0,4.08,88.0,84.0
199,God of War II,PS2,2007.0,4.07,93.0,89.0
200,Fallout: New Vegas,X360,2010.0,4.05,84.0,81.0
201,Forza Motorsport 2,X360,2007.0,4.05,90.0,83.0
202,Carnival Games,Wii,2007.0,4.05,56.0,60.0
203,Watch Dogs,PS4,2014.0,4.05,80.0,63.0
204,Tekken Tag Tournament,PS2,2000.0,4.05,85.0,85.0
205,Far Cry 4,PS4,2014.0,4.04,85.0,77.0
206,Left 4 Dead 2,X360,2009.0,3.97,89.0,86.0
207,The Witcher 3: Wild Hunt,PS4,2015.0,3.97,92.0,92.0
208,Assassin's Creed: Unity,PS4,2014.0,3.96,70.0,49.0
209,Batman: Arkham Knight,PS4,2015.0,3.95,87.0,76.0
210,The Legend of Zelda: Skyward Sword,Wii,2011.0,3.95,93.0,80.0
211,Fallout 3,PS3,2008.0,3.94,90.0,80.0
212,Professor Layton and the Diabolical Box,DS,2007.0,3.94,84.0,88.0
213,EA Sports Active,Wii,2009.0,3.9,81.0,87.0
214,Tony Hawk's Underground,PS2,2003.0,3.9,90.0,87.0
215,Monster Hunter 4 Ultimate,3DS,2014.0,3.89,86.0,87.0
216,The Elder Scrolls V: Skyrim,PC,2011.0,3.88,94.0,81.0
217,NBA 2K16,PS4,2015.0,3.88,87.0,67.0
218,Tekken 5,PS2,2005.0,3.87,88.0,86.0
219,MotorStorm,PS3,2006.0,3.87,84.0,74.0
220,World Soccer Winning Eleven 8 International,PS2,2004.0,3.85,91.0,91.0
221,Sports Champions,PS3,2010.0,3.84,76.0,79.0
222,Call of Duty: Ghosts,PS4,2013.0,3.83,78.0,37.0
223,Flash Focus: Vision Training in Minutes a Day,DS,2007.0,3.83,59.0,40.0
224,Tom Clancy's The Division,PS4,2016.0,3.8,80.0,70.0
225,Big Brain Academy: Wii Degree,Wii,2007.0,3.79,68.0,69.0
226,LEGO Indiana Jones: The Original Adventures,X360,2008.0,3.76,77.0,75.0
227,The Sims: Unleashed,PC,2002.0,3.76,79.0,80.0
228,Harry Potter and the Sorcerer's Stone,PS,2001.0,3.73,64.0,75.0
229,Super Paper Mario,Wii,2007.0,3.71,85.0,79.0
230,Spyro: Year of the Dragon,PS,2000.0,3.71,91.0,88.0
231,Assassin's Creed IV: Black Flag,PS3,2013.0,3.71,88.0,81.0
232,FIFA Soccer 2005,PS2,2004.0,3.7,81.0,76.0
233,Tony Hawk's Pro Skater 4,PS2,2002.0,3.67,94.0,85.0
234,MySims,DS,2007.0,3.66,67.0,73.0
235,Midnight Club 3: DUB Edition,PSP,2005.0,3.65,74.0,84.0
236,SOCOM: U.S. Navy SEALs,PS2,2002.0,3.65,82.0,79.0
237,Jak and Daxter: The Precursor Legacy,PS2,2001.0,3.64,90.0,87.0
238,Pro Evolution Soccer 2008,PS2,2007.0,3.63,82.0,79.0
239,Resident Evil 4,PS2,2005.0,3.62,96.0,89.0
240,Guitar Hero: World Tour,Wii,2008.0,3.62,86.0,76.0
241,FIFA Soccer 10,PS3,2009.0,3.62,91.0,76.0
242,Star Wars: Battlefront,PS2,2004.0,3.61,82.0,87.0
243,The Simpsons: Road Rage,PS2,2001.0,3.61,64.0,77.0
244,Luigi's Mansion,GC,2001.0,3.6,78.0,85.0
245,Battlefield 4,PS4,2013.0,3.59,85.0,69.0
246,Star Wars: Battlefront II,PS2,2005.0,3.59,84.0,90.0
247,Cooking Mama 2: Dinner With Friends,DS,2007.0,3.58,70.0,80.0
248,Grand Theft Auto: Liberty City Stories,PS2,2006.0,3.54,78.0,78.0
249,The Getaway,PS2,2002.0,3.54,72.0,68.0
250,James Bond 007: Agent Under Fire,PS2,2001.0,3.53,72.0,79.0
251,FIFA Soccer 11,X360,2010.0,3.52,88.0,75.0
252,Left 4 Dead,X360,2008.0,3.51,89.0,79.0
253,Assassin's Creed: Unity,XOne,2014.0,3.5,72.0,41.0
254,Resident Evil 5,X360,2009.0,3.5,83.0,75.0
255,Assassin's Creed: Brotherhood,X360,2010.0,3.49,89.0,83.0
256,FIFA Soccer 2004,PS2,0.0,3.49,84.0,64.0
257,Battlefield 4,PS3,2013.0,3.49,80.0,58.0
258,Batman: Arkham Asylum,X360,2009.0,3.48,92.0,87.0
259,Battlefield 4,X360,2013.0,3.48,79.0,56.0
260,Battlefield: Bad Company 2,X360,2010.0,3.47,88.0,86.0
