,title,user_Score,release_Date,console,publisher,developer,tot_ship,tot_sale,na_sale,pal_sale,keydata,other_sale,last_update,VGscore
0,Wii Sports    ,N/A  ,19th Nov 06  ,Wii,Nintendo  ,Nintendo EAD  ,82.87m,,,,82.87m,,,N/A  
1,Super Mario Bros.    ,8.2,18th Oct 85  ,NES,Nintendo  ,Nintendo EAD  ,40.24m,,,,40.24m,,,N/A  
2,Mario Kart Wii    ,9.1,27th Apr 08  ,Wii,Nintendo  ,Nintendo EAD  ,37.20m,,,,37.20m,,11th Apr 18,8.7
3,PlayerUnknown's Battlegrounds    ,N/A  ,21st Dec 17  ,PC,PUBG Corporation  ,PUBG Corporation  ,36.60m,,,,36.60m,,13th Nov 18,N/A  
4,Wii Sports Resort    ,8.8,26th Jul 09  ,Wii,Nintendo  ,Nintendo EAD  ,33.10m,,,,33.10m,,,8.8
5,Pokémon Red / Green / Blue Version    ,N/A  ,30th Sep 98  ,GB,Nintendo  ,Game Freak  ,31.38m,,,,31.38m,,,N/A  
6,New Super Mario Bros.    ,8.1,15th May 06  ,DS,Nintendo  ,Nintendo EAD  ,30.80m,,,,30.80m,,,N/A  
7,New Super Mario Bros. Wii    ,9.2,15th Nov 09  ,Wii,Nintendo  ,Nintendo EAD  ,30.26m,,,,30.26m,,,9.1
8,Tetris    ,N/A  ,01st Jun 89  ,GB,Nintendo  ,Bullet Proof Software  ,30.26m,,,,30.26m,,,N/A  
9,Minecraft    ,N/A  ,10th May 10  ,PC,Mojang  ,Mojang AB  ,30.01m,,,,30.01m,,05th Aug 18,N/A  
10,Duck Hunt    ,N/A  ,15th Oct 85  ,NES,Nintendo  ,Nintendo R&D1  ,28.31m,,,,28.31m,,,N/A  
11,Wii Play    ,4.5,12th Feb 07  ,Wii,Nintendo  ,Nintendo EAD  ,28.02m,,,,28.02m,,,5.3
12,Kinect Adventures!    ,N/A  ,04th Nov 10  ,X360,Microsoft Game Studios  ,Good Science Studio  ,24.00m,,,,24.00m,,29th Sep 18,6.2
13,Nintendogs    ,N/A  ,23rd Aug 05  ,DS,Nintendo  ,Nintendo EAD  ,23.96m,,,,23.96m,,,N/A  
14,Mario Kart DS    ,9.4,14th Nov 05  ,DS,Nintendo  ,Nintendo EAD  ,23.60m,,,,23.60m,,,N/A  
15,Pokémon Gold / Silver Version    ,N/A  ,14th Oct 00  ,GB,Nintendo  ,Game Freak  ,23.10m,,,,23.10m,,,N/A  
16,Wii Fit    ,N/A  ,21st May 08  ,Wii,Nintendo  ,Nintendo EAD  ,22.67m,,,,22.67m,,,8
17,Wii Fit Plus    ,N/A  ,04th Oct 09  ,Wii,Nintendo  ,Nintendo EAD  ,21.13m,,,,21.13m,,,N/A  
18,Super Mario World    ,N/A  ,13th Aug 91  ,SNES,Nintendo  ,Nintendo EAD  ,20.61m,,,,20.61m,,10th Aug 18,N/A  
19,Grand Theft Auto V    ,N/A  ,17th Sep 13  ,PS3,Rockstar Games  ,Rockstar North  ,,20.32m,6.37m,9.85m,20.32m,3.12m,,N/A  
20,Grand Theft Auto V    ,N/A  ,18th Nov 14  ,PS4,Rockstar Games  ,Rockstar North  ,,19.39m,6.06m,9.71m,19.39m,3.02m,03rd Jan 18,N/A  
21,Brain Age: Train Your Brain in Minutes a Day    ,N/A  ,17th Apr 06  ,DS,Nintendo  ,Nintendo SDD  ,19.01m,,,,19.01m,,,N/A  
22,Garry's Mod    ,N/A  ,24th Dec 04  ,PC,Unknown  ,Team Garry  ,18.58m,,,,18.58m,,,N/A  
23,Mario Kart 7    ,N/A  ,04th Dec 11  ,3DS,Nintendo  ,Nintendo EAD / Retro Studios  ,18.26m,,,,18.26m,,,N/A  
24,Super Mario Land    ,N/A  ,01st Aug 89  ,GB,Nintendo  ,Nintendo R&D1  ,18.14m,,,,18.14m,,,N/A  
25,Pokémon Diamond / Pearl Version    ,N/A  ,28th Apr 07  ,DS,Nintendo  ,Game Freak  ,17.67m,,,,17.67m,,,N/A  
26,Grand Theft Auto: San Andreas    ,N/A  ,26th Oct 04  ,PS2,Rockstar Games  ,Rockstar North  ,17.30m,,,,17.30m,,,N/A  
27,Super Mario Bros. 3    ,N/A  ,12th Feb 90  ,NES,Nintendo  ,Nintendo R&D2  ,17.28m,,,,17.28m,,09th Aug 18,N/A  
28,Mario Kart 8 Deluxe    ,N/A  ,28th Apr 17  ,NS,Nintendo  ,Nintendo EPD  ,16.69m,,,,16.69m,,19th Nov 18,N/A  
29,Pokémon X/Y    ,9.7,12th Oct 13  ,3DS,Nintendo  ,Game Freak  ,16.39m,,,,16.39m,,06th Jan 18,N/A  
30,Pokémon Ruby / Sapphire Version    ,N/A  ,17th Mar 03  ,GBA,Nintendo  ,Game Freak  ,16.22m,,,,16.22m,,,N/A  
31,Pokémon Sun/Moon    ,N/A  ,18th Nov 16  ,3DS,Nintendo  ,Game Freak  ,16.15m,,,,16.15m,,03rd Aug 18,N/A  
32,Grand Theft Auto: Vice City    ,N/A  ,28th Oct 02  ,PS2,Rockstar Games  ,Rockstar North  ,,16.15m,8.41m,5.49m,16.15m,1.78m,,N/A  
33,Grand Theft Auto V    ,N/A  ,17th Sep 13  ,X360,Rockstar Games  ,Rockstar North  ,,15.86m,9.06m,5.33m,15.86m,1.42m,,N/A  
34,Pokémon Black / White Version    ,9,06th Mar 11  ,DS,Nintendo  ,Game Freak  ,15.64m,,,,15.64m,,,N/A  
35,Call of Duty: Black Ops 3    ,N/A  ,06th Nov 15  ,PS4,Activision  ,Treyarch  ,,15.09m,6.18m,6.05m,15.09m,2.44m,14th Jan 18,N/A  
36,Counter-Strike: Source    ,N/A  ,16th Nov 04  ,PC,VU Games  ,Valve Software  ,15.00m,,,,15.00m,,,N/A  
37,Sonic the Hedgehog    ,N/A  ,23rd Jun 91  ,GEN,Sega  ,Sonic Team  ,15.00m,,,,15.00m,,,N/A  
38,Gran Turismo 3: A-Spec    ,N/A  ,09th Jul 01  ,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,14.89m,,,,14.89m,,,N/A  
39,Brain Age 2: More Training in Minutes a Day    ,N/A  ,20th Aug 07  ,DS,Nintendo  ,Nintendo SDD  ,14.88m,,,,14.88m,,,N/A  
40,Call of Duty: Modern Warfare 3    ,N/A  ,08th Nov 11  ,X360,Activision  ,Infinity Ward  ,,14.82m,9.07m,4.29m,14.82m,1.33m,,N/A  
41,Call of Duty: Black Ops    ,N/A  ,09th Nov 10  ,X360,Activision  ,Treyarch  ,,14.74m,9.76m,3.73m,14.74m,1.14m,,N/A  
42,Pokémon Yellow: Special Pikachu Edition    ,N/A  ,19th Oct 99  ,GB,Nintendo  ,Game Freak  ,14.64m,,,,14.64m,,,N/A  
43,Halo 3    ,9.5,25th Sep 07  ,X360,Microsoft Game Studios  ,Bungie Studios  ,14.50m,,,,14.50m,,11th Oct 18,8.8
44,Super Mario Odyssey    ,N/A  ,27th Oct 17  ,NS,Nintendo  ,Nintendo EPD  ,14.44m,,,,14.44m,,19th Nov 18,N/A  
45,Pokémon Omega Ruby/Pokémon Alpha Sapphire    ,N/A  ,21st Nov 14  ,3DS,Nintendo  ,Game Freak  ,14.19m,,,,14.19m,,03rd Aug 18,N/A  
46,Red Dead Redemption 2    ,N/A  ,26th Oct 18  ,PS4,Rockstar Games  ,Rockstar Games  ,,13.94m,5.26m,6.21m,13.94m,2.26m,02nd Nov 18,8
47,Call of Duty: Black Ops II    ,N/A  ,13th Nov 12  ,X360,Activision  ,Treyarch  ,,13.86m,8.27m,4.32m,13.86m,1.20m,07th Apr 18,N/A  
48,Super Smash Bros. Ultimate    ,9.7,07th Dec 18  ,NS,Nintendo  ,Bandai Namco Games  ,13.81m,,,,13.81m,,18th Oct 18,9
49,Call of Duty: Black Ops II    ,N/A  ,13th Nov 12  ,PS3,Activision  ,Treyarch  ,,13.80m,4.99m,5.88m,13.80m,2.28m,07th Apr 18,N/A  
50,Call of Duty: Modern Warfare 2    ,9,10th Nov 09  ,X360,Activision  ,Infinity Ward  ,,13.53m,8.54m,3.63m,13.53m,1.28m,,9
51,Call of Duty: WWII    ,N/A  ,03rd Nov 17  ,PS4,Activision  ,Sledgehammer Games  ,,13.40m,4.67m,6.21m,13.40m,2.12m,31st Dec 17,N/A  
52,Call of Duty: Modern Warfare 3    ,N/A  ,08th Nov 11  ,PS3,Activision  ,Infinity Ward  ,,13.35m,5.54m,5.78m,13.35m,1.54m,,N/A  
53,Super Smash Bros. Brawl    ,9.7,09th Mar 08  ,Wii,Nintendo  ,Project Sora  ,13.30m,,,,13.30m,,,9.2
54,New Super Mario Bros. 2    ,N/A  ,19th Aug 12  ,3DS,Nintendo  ,Nintendo  ,13.16m,,,,13.16m,,30th Jan 18,N/A  
55,Grand Theft Auto III    ,N/A  ,23rd Oct 01  ,PS2,Rockstar Games  ,DMA Design  ,,13.10m,6.99m,4.51m,13.10m,1.30m,,N/A  
56,Portal 2    ,N/A  ,19th Apr 11  ,PC,Valve  ,Valve Software  ,13.06m,,,,13.06m,,,N/A  
57,Minecraft    ,N/A  ,04th Jun 13  ,X360,Microsoft Studios  ,Mojang  ,13.00m,,,,13.00m,,05th Aug 18,N/A  
58,Super Mario Galaxy    ,9.6,12th Nov 07  ,Wii,Nintendo  ,Nintendo EAD Tokyo  ,12.79m,,,,12.79m,,,9.6
59,The Legend of Zelda: Breath of the Wild    ,10,03rd Mar 17  ,NS,Nintendo  ,Nintendo EPD  ,12.77m,,,,12.77m,,19th Nov 18,N/A  
60,Pokémon Heart Gold / Soul Silver Version    ,N/A  ,14th Mar 10  ,DS,Nintendo  ,Game Freak  ,12.72m,,,,12.72m,,,8.5
61,Call of Duty: Black Ops    ,N/A  ,09th Nov 10  ,PS3,Activision  ,Treyarch  ,,12.67m,6.01m,4.40m,12.67m,1.78m,,N/A  
62,Grand Theft Auto V    ,N/A  ,14th Apr 15  ,PC,Rockstar Games  ,Rockstar North  ,12.60m,,,,12.60m,,02nd Nov 18,N/A  
63,Super Mario 3D Land    ,N/A  ,13th Nov 11  ,3DS,Nintendo  ,Nintendo EAD Tokyo  ,12.50m,,,,12.50m,,06th Apr 18,N/A  
64,Animal Crossing: New Leaf    ,N/A  ,09th Jun 13  ,3DS,Nintendo  ,Nintendo EAD  ,12.21m,,,,12.21m,,02nd Jan 18,N/A  
65,Diablo III    ,N/A  ,15th May 12  ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,12.00m,,,,12.00m,,03rd Jan 18,8.4
66,Pokémon FireRed / LeafGreen Version    ,N/A  ,07th Sep 04  ,GBA,Nintendo  ,Game Freak  ,12.00m,,,,12.00m,,,N/A  
67,Gran Turismo 5    ,N/A  ,24th Nov 10  ,PS3,Sony Computer Entertainment  ,Polyphony Digital  ,11.95m,,,,11.95m,,,N/A  
68,Super Mario 64    ,N/A  ,26th Sep 96  ,N64,Nintendo  ,Nintendo EAD  ,11.91m,,,,11.91m,,,N/A  
69,FIFA 18    ,N/A  ,29th Sep 17  ,PS4,EA Sports  ,EA Vancouver  ,,11.80m,1.27m,8.64m,11.80m,1.73m,02nd Apr 18,N/A  
70,Gran Turismo 4    ,N/A  ,22nd Feb 05  ,PS2,Sony Computer Entertainment  ,Polyphony Digital  ,11.76m,,,,11.76m,,,N/A  
71,Animal Crossing: Wild World    ,N/A  ,05th Dec 05  ,DS,Nintendo  ,Nintendo EAD  ,11.75m,,,,11.75m,,,N/A  
72,Super Mario Land 2: 6 Golden Coins    ,N/A  ,02nd Nov 92  ,GB,Nintendo  ,Nintendo R&D1  ,11.18m,,,,11.18m,,,N/A  
73,Grand Theft Auto IV    ,N/A  ,29th Apr 08  ,X360,Rockstar Games  ,Rockstar North  ,,11.09m,6.80m,3.11m,11.09m,1.04m,,9
74,Super Mario 64 DS    ,N/A  ,20th Nov 04  ,DS,Nintendo  ,Nintendo EAD  ,11.06m,,,,11.06m,,,N/A  
75,Terraria    ,N/A  ,16th May 11  ,PC,Unknown  ,Re-Logic  ,11.00m,,,,11.00m,,19th Mar 18,N/A  
76,FIFA 17    ,N/A  ,27th Sep 16  ,PS4,Electronic Arts  ,EA Canada  ,,10.94m,1.26m,7.95m,10.94m,1.61m,28th Mar 18,N/A  
77,Gran Turismo    ,N/A  ,30th Apr 98  ,PS,Sony Computer Entertainment  ,Polyphony Digital  ,10.85m,,,,10.85m,,,N/A  
78,"Pokémon: Let's Go, Pikachu/Eevee    ",N/A  ,16th Nov 18  ,NS,Nintendo  ,Game Freak  ,10.63m,,,,10.63m,,31st Jan 19,N/A  
79,Call of Duty: Modern Warfare 2    ,N/A  ,10th Nov 09  ,PS3,Activision  ,Infinity Ward  ,,10.61m,4.99m,3.66m,10.61m,1.59m,,9
80,Grand Theft Auto IV    ,9,29th Apr 08  ,PS3,Rockstar Games  ,Rockstar North  ,,10.57m,4.79m,3.73m,10.57m,1.62m,,9
81,Super Mario All-Stars    ,9.5,01st Aug 93  ,SNES,Nintendo  ,Nintendo EAD  ,10.55m,,,,10.55m,,,N/A  
82,Call of Duty: Ghosts    ,N/A  ,05th Nov 13  ,X360,Activision  ,Infinity Ward  ,,10.41m,6.76m,2.64m,10.41m,0.98m,21st Mar 18,N/A  
83,Just Dance 3    ,N/A  ,07th Oct 11  ,Wii,Ubisoft  ,Ubisoft Paris  ,,10.14m,5.95m,3.13m,10.14m,1.06m,,N/A  
84,Call of Duty: Ghosts    ,N/A  ,05th Nov 13  ,PS3,Activision  ,Infinity Ward  ,,10.13m,4.11m,4.01m,10.13m,1.62m,21st Mar 18,N/A  
85,Horizon: Zero Dawn    ,8,28th Feb 17  ,PS4,Sony Interactive Entertainment  ,Guerrilla Games  ,10.00m,,,,10.00m,,15th Jan 18,N/A  
86,RollerCoaster Tycoon 3    ,N/A  ,26th Oct 04  ,PC,Atari  ,Frontier Developments  ,10.00m,,,,10.00m,,,N/A  
87,Halo: Reach    ,N/A  ,14th Sep 10  ,X360,Microsoft Game Studios  ,Bungie  ,,9.97m,7.08m,2.01m,9.97m,0.80m,11th Oct 18,N/A  
88,Portal    ,N/A  ,09th Apr 08  ,PC,Valve Corporation  ,Valve Software  ,9.97m,,,,9.97m,,,N/A  
89,Halo 4    ,N/A  ,06th Nov 12  ,X360,Microsoft Studios  ,343 Industries  ,,9.96m,6.72m,2.36m,9.96m,0.83m,,N/A  
90,Final Fantasy VII    ,9.5,03rd Sep 97  ,PS,Sony Computer Entertainment  ,SquareSoft  ,9.90m,,,,9.90m,,23rd Mar 19,N/A  
91,Mario Kart 64    ,N/A  ,10th Feb 97  ,N64,Nintendo  ,Nintendo EAD  ,9.87m,,,,9.87m,,,N/A  
92,StarCraft    ,N/A  ,01st Apr 98  ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,9.50m,,,,9.50m,,23rd Nov 18,N/A  
93,Super Smash Bros. for 3DS    ,N/A  ,03rd Oct 14  ,3DS,Nintendo  ,Bandai Namco Games  ,9.49m,,,,9.49m,,11th Apr 18,N/A  
94,Call of Duty 4: Modern Warfare    ,9,05th Nov 07  ,X360,Activision  ,Infinity Ward  ,,9.41m,5.98m,2.39m,9.41m,0.91m,,N/A  
95,Gran Turismo 2    ,N/A  ,17th Jan 99  ,PS,Sony Computer Entertainment  ,Polyphony Digital  ,9.37m,,,,9.37m,,,N/A  
96,Wii Party    ,N/A  ,03rd Oct 10  ,Wii,Nintendo  ,"Nd Cube Co., Ltd.  ",9.33m,,,,9.33m,,,N/A  
97,Call of Duty: Black Ops IIII    ,N/A  ,12th Oct 18  ,PS4,Activision  ,Treyarch  ,,9.32m,4.05m,3.28m,9.32m,1.49m,07th Nov 18,N/A  
98,Mario Party DS    ,N/A  ,19th Nov 07  ,DS,Nintendo  ,Hudson Soft  ,9.31m,,,,9.31m,,,N/A  
99,Donkey Kong Country    ,N/A  ,21st Nov 94  ,SNES,Nintendo  ,Rare Ltd.  ,9.30m,,,,9.30m,,,N/A  
100,FIFA 19    ,N/A  ,28th Sep 18  ,PS4,Electronic Arts  ,EA Sports  ,,9.15m,0.84m,6.87m,9.15m,1.34m,12th Sep 18,N/A  
101,Rust    ,N/A  ,08th Feb 18  ,PC,Facepunch Studios  ,Facepunch Studios  ,9.15m,,,,9.15m,,19th Mar 18,N/A  
102,Marvel's Spider-Man    ,N/A  ,07th Sep 18  ,PS4,Sony Interactive Entertainment  ,Insomniac Games  ,9.00m,,,,9.00m,,26th Sep 18,8
103,Half-Life 2    ,N/A  ,16th Nov 04  ,PC,VU Games  ,Valve Software  ,8.88m,,,,8.88m,,,N/A  
104,The Elder Scrolls V: Skyrim    ,N/A  ,11th Nov 11  ,X360,Bethesda Softworks  ,Bethesda Game Studios  ,,8.88m,5.10m,2.83m,8.88m,0.85m,01st Apr 18,N/A  
105,Mario Party 8    ,N/A  ,29th May 07  ,Wii,Nintendo  ,Hudson Soft  ,8.85m,,,,8.85m,,,N/A  
106,Super Mario Kart    ,N/A  ,01st Sep 92  ,SNES,Nintendo  ,Nintendo EAD  ,8.76m,,,,8.76m,,,N/A  
107,Grand Theft Auto V    ,9,18th Nov 14  ,XOne,Rockstar Games  ,Rockstar North  ,,8.72m,4.70m,3.25m,8.72m,0.76m,11th Apr 18,N/A  
108,Splatoon 2    ,N/A  ,21st Jul 17  ,NS,Nintendo  ,Nintendo EPD  ,8.70m,,,,8.70m,,19th Nov 18,N/A  
109,Uncharted 4: A Thief's End    ,N/A  ,10th May 16  ,PS4,Sony Interactive Entertainment  ,Naughty Dog  ,8.70m,,,,8.70m,,23rd Sep 18,N/A  
110,Final Fantasy VIII    ,N/A  ,07th Sep 99  ,PS,Square EA  ,SquareSoft  ,8.60m,,,,8.60m,,,N/A  
111,Final Fantasy X    ,10,17th Dec 01  ,PS2,Square  ,SquareSoft  ,8.60m,,,,8.60m,,,N/A  
112,Pokémon Black 2 and White 2    ,8.3,07th Oct 12  ,DS,Nintendo  ,Game Freak  ,8.52m,,,,8.52m,,25th Feb 18,N/A  
113,Call of Duty: Infinite Warfare    ,N/A  ,04th Nov 16  ,PS4,Activision  ,Infinity Ward  ,,8.48m,3.11m,3.83m,8.48m,1.36m,14th Jan 18,N/A  
114,Fallout 4    ,N/A  ,10th Nov 15  ,PS4,Bethesda Softworks  ,Bethesda Game Studios  ,,8.48m,2.91m,3.97m,8.48m,1.34m,24th Mar 18,N/A  
115,Mario Kart 8    ,N/A  ,30th May 14  ,WiiU,Nintendo  ,Nintendo  ,8.44m,,,,8.44m,,01st Feb 18,N/A  
116,Pokémon: Ultra Sun and Ultra Moon    ,N/A  ,17th Nov 17  ,3DS,Nintendo  ,Game Freak  ,8.37m,,,,8.37m,,03rd Aug 18,N/A  
117,Tekken 3    ,N/A  ,29th Apr 98  ,PS,Namco  ,Namco  ,8.30m,,,,8.30m,,,N/A  
118,FIFA 16    ,N/A  ,22nd Sep 15  ,PS4,EA Sports  ,EA Canada  ,,8.22m,1.15m,5.77m,8.22m,1.23m,01st Apr 18,N/A  
119,GoldenEye 007    ,N/A  ,25th Aug 97  ,N64,Nintendo  ,Rare Ltd.  ,8.09m,,,,8.09m,,,N/A  
120,Star Wars Battlefront (2015)    ,N/A  ,17th Nov 15  ,PS4,Electronic Arts  ,EA DICE  ,,8.03m,3.31m,3.19m,8.03m,1.30m,24th Mar 18,N/A  
121,FIFA 13    ,N/A  ,25th Sep 12  ,PS3,EA Sports  ,EA Canada  ,,8.01m,1.07m,5.13m,8.01m,1.68m,06th Apr 18,N/A  
122,Halo 2    ,N/A  ,09th Nov 04  ,XB,Microsoft Game Studios  ,Bungie Studios  ,8.00m,,,,8.00m,,11th Oct 18,N/A  
123,The Sims 3    ,N/A  ,02nd Jun 09  ,PC,Electronic Arts  ,EA Redwood Shores  ,,7.96m,1.01m,6.46m,7.96m,0.50m,,8.8
124,Grand Theft Auto: Liberty City Stories    ,N/A  ,25th Oct 05  ,PSP,Rockstar Games  ,Rockstar Leeds  ,,7.72m,2.90m,2.83m,7.72m,1.74m,,N/A  
125,Pac-Man    ,N/A  ,01st Mar 82  ,2600,Atari  ,Atari  ,7.70m,,,,7.70m,,,N/A  
126,Pokémon Platinum Version    ,8.9,22nd Mar 09  ,DS,Nintendo  ,Game Freak  ,7.60m,,,,7.60m,,,N/A  
127,The Legend of Zelda: Ocarina of Time    ,10,23rd Nov 98  ,N64,Nintendo  ,Nintendo EAD  ,7.60m,,,,7.60m,,,N/A  
128,Crash Bandicoot 2: Cortex Strikes Back    ,N/A  ,31st Oct 97  ,PS,Sony Computer Entertainment  ,Naughty Dog  ,,7.58m,3.78m,2.17m,7.58m,0.31m,,N/A  
129,Call of Duty: Advanced Warfare    ,N/A  ,04th Nov 14  ,PS4,Activision  ,Sledgehammer Games  ,,7.53m,2.84m,3.34m,7.53m,1.22m,04th Jan 18,N/A  
130,Call of Duty: World at War    ,7.8,10th Nov 08  ,X360,Activision  ,Treyarch  ,,7.50m,4.88m,1.91m,7.50m,0.71m,,8.8
131,Super Mario Bros. 2    ,N/A  ,01st Oct 88  ,NES,Nintendo  ,Nintendo EAD  ,7.46m,,,,7.46m,,,N/A  
132,Super Mario Galaxy 2    ,9.8,23rd May 10  ,Wii,Nintendo  ,Nintendo EAD Tokyo  ,7.41m,,,,7.41m,,,9.6
133,Super Smash Bros. Melee    ,N/A  ,02nd Dec 01  ,GC,Nintendo  ,HAL Laboratory  ,7.41m,,,,7.41m,,,N/A  
134,Call of Duty: Black Ops 3    ,N/A  ,06th Nov 15  ,XOne,Activision  ,Treyarch  ,,7.37m,4.63m,2.04m,7.37m,0.68m,14th Jan 18,N/A  
135,Battlefield 3    ,N/A  ,25th Oct 11  ,X360,Electronic Arts  ,Dice  ,,7.35m,4.47m,2.12m,7.35m,0.69m,,N/A  
136,The Legend of Zelda: Twilight Princess    ,9.6,19th Nov 06  ,Wii,Nintendo  ,Nintendo EAD  ,7.26m,,,,7.26m,,,9.3
137,Battlefield 1    ,N/A  ,21st Oct 16  ,PS4,Electronic Arts  ,EA DICE  ,,7.26m,2.20m,3.65m,7.26m,1.12m,24th Mar 18,N/A  
138,Battlefield 3    ,N/A  ,25th Oct 11  ,PS3,Electronic Arts  ,Dice  ,,7.21m,2.86m,2.94m,7.21m,1.07m,,N/A  
139,Need for Speed Underground    ,N/A  ,17th Nov 03  ,PS2,Electronic Arts  ,EA Black Box  ,,7.20m,3.27m,2.83m,7.20m,1.02m,,N/A  
140,The Binding of Isaac    ,N/A  ,28th Sep 11  ,PC,Edmund McMillen  ,Edmund McMillen  ,7.17m,,,,7.17m,,01st Dec 18,N/A  
141,Crash Bandicoot 3: Warped    ,N/A  ,31st Oct 98  ,PS,Sony Computer Entertainment  ,Naughty Dog  ,,7.13m,3.68m,1.75m,7.13m,0.28m,24th Sep 18,N/A  
142,Pokémon Emerald Version    ,N/A  ,30th Apr 05  ,GBA,Nintendo  ,Game Freak  ,7.06m,,,,7.06m,,,N/A  
143,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters    ,N/A  ,30th Sep 16  ,3DS,Nintendo  ,Level 5  ,7.03m,,,,7.03m,,26th Jan 19,N/A  
144,Need for Speed Underground 2    ,N/A  ,15th Nov 04  ,PS2,Electronic Arts  ,EA Black Box  ,,6.90m,2.71m,3.02m,6.90m,1.09m,,N/A  
145,Just Dance 4    ,N/A  ,09th Oct 12  ,Wii,Ubisoft  ,Ubisoft  ,,6.89m,4.05m,2.21m,6.89m,0.62m,31st Jan 18,N/A  
146,Mario Kart: Double Dash!!    ,N/A  ,17th Nov 03  ,GC,Nintendo  ,Nintendo EAD  ,6.88m,,,,6.88m,,,N/A  
147,Uncharted 3: Drake's Deception    ,6.3,01st Nov 11  ,PS3,Sony Computer Entertainment  ,Naughty Dog  ,,6.84m,2.77m,2.81m,6.84m,1.06m,,N/A  
148,Medal of Honor: Frontline    ,N/A  ,28th May 02  ,PS2,Electronic Arts  ,EA Los Angeles  ,,6.83m,2.93m,2.75m,6.83m,0.99m,,N/A  
149,Crash Bandicoot    ,N/A  ,01st Sep 96  ,PS,Sony Computer Entertainment  ,Naughty Dog  ,6.82m,,,,6.82m,,,N/A  
150,Zumba Fitness    ,N/A  ,18th Nov 10  ,Wii,Majesco  ,"Pipeworks Software, Inc.  ",,6.76m,3.47m,2.62m,6.76m,0.67m,,N/A  
151,Uncharted 2: Among Thieves    ,9.6,13th Oct 09  ,PS3,Sony Computer Entertainment  ,Naughty Dog  ,,6.74m,3.28m,2.22m,6.74m,1.02m,,9.2
152,Call of Duty 4: Modern Warfare    ,9.6,05th Nov 07  ,PS3,Activision  ,Infinity Ward  ,,6.72m,3.13m,2.27m,6.72m,1.04m,,N/A  
153,FIFA Soccer 12    ,N/A  ,27th Sep 11  ,PS3,EA Sports  ,EA Canada  ,,6.65m,0.84m,4.33m,6.65m,1.37m,,N/A  
154,FIFA 14    ,N/A  ,24th Sep 13  ,PS3,EA Sports  ,EA Canada  ,,6.61m,0.79m,4.77m,6.61m,0.98m,15th Sep 18,N/A  
155,Red Dead Redemption    ,N/A  ,11th Oct 11  ,PS3,Rockstar Games  ,Rockstar San Diego  ,,6.57m,2.82m,2.58m,6.57m,1.00m,,9.1
156,Donkey Kong Country Returns    ,N/A  ,21st Nov 10  ,Wii,Nintendo  ,Retro Studios  ,6.53m,,,,6.53m,,,N/A  
157,The Legend of Zelda    ,N/A  ,22nd Aug 87  ,NES,Nintendo  ,Nintendo EAD  ,6.51m,,,,6.51m,,,N/A  
158,Assassin's Creed III    ,N/A  ,30th Oct 12  ,PS3,Ubisoft  ,Ubisoft Montreal  ,,6.50m,2.65m,2.61m,6.50m,1.08m,12th Apr 18,N/A  
159,Guild Wars    ,N/A  ,26th Apr 05  ,PC,NCSoft  ,ArenaNet  ,6.50m,,,,6.50m,,,N/A  
160,Red Dead Redemption    ,10,18th May 10  ,X360,Rockstar Games  ,Rockstar San Diego  ,,6.50m,3.77m,2.03m,6.50m,0.60m,,9.1
161,The Elder Scrolls V: Skyrim    ,N/A  ,11th Nov 11  ,PS3,Bethesda Softworks  ,Bethesda Game Studios  ,,6.49m,2.57m,2.68m,6.49m,0.99m,01st Apr 18,N/A  
162,Tomodachi Life    ,N/A  ,06th Jun 14  ,3DS,Nintendo  ,Nintendo  ,6.45m,,,,6.45m,,05th Jan 18,N/A  
163,Final Fantasy XII    ,9.5,31st Oct 06  ,PS2,Square Enix  ,Square Enix  ,6.40m,,,,6.40m,,,N/A  
164,Super Mario Party    ,N/A  ,05th Oct 18  ,NS,Nintendo  ,"Nd Cube Co., Ltd.  ",6.40m,,,,6.40m,,19th Nov 18,7
165,Pokémon Crystal Version    ,N/A  ,29th Jul 01  ,GBC,Nintendo  ,Game Freak  ,6.39m,,,,6.39m,,06th Jan 18,N/A  
166,Halo 3: ODST    ,N/A  ,22nd Sep 09  ,X360,Microsoft Game Studios  ,Bungie  ,,6.35m,4.34m,1.34m,6.35m,0.61m,11th Oct 18,8.4
167,Minecraft    ,N/A  ,07th Oct 14  ,PS4,Sony Computer Entertainment  ,Mojang  ,,6.33m,1.89m,3.13m,6.33m,0.96m,14th Sep 18,N/A  
168,FIFA 15    ,N/A  ,23rd Sep 14  ,PS4,EA Sports  ,EA Canada  ,,6.32m,0.83m,4.49m,6.32m,0.94m,23rd Mar 18,N/A  
169,Kingdom Hearts    ,N/A  ,16th Sep 02  ,PS2,Square EA  ,SquareSoft  ,6.30m,,,,6.30m,,,N/A  
170,Street Fighter II: The World Warrior    ,N/A  ,01st Jul 92  ,SNES,Capcom  ,Capcom  ,6.30m,,,,6.30m,,,N/A  
171,The Last of Us    ,N/A  ,14th Jun 13  ,PS3,Sony Computer Entertainment America  ,Naughty Dog  ,,6.27m,2.41m,2.57m,6.27m,0.99m,24th Sep 18,N/A  
