,title,user_Score,release_Date,console,publisher,developer,tot_ship,tot_sale,na_sale,pal_sale,keydata,other_sale,last_update,VGscore
9025,Legacy of Kain: Defiance    ,N/A  ,11th Nov 03  ,XB,Eidos Interactive  ,Crystal Dynamics  ,,0.19m,0.14m,0.04m,0.19m,0.01m,,N/A  
9026,Jalopy    ,N/A  ,N/A  ,PC,Unknown  ,Minskworks  ,0.19m,,,,0.19m,,01st Mar 19,N/A  
9027,Trivial Pursuit unhinged    ,N/A  ,24th Mar 04  ,PS2,Atari  ,Artech Studios  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9028,Tales of the World: Narikiri Dungeon 2    ,N/A  ,25th Oct 02  ,GBA,Namco  ,Alfa System  ,,0.19m,,,0.19m,0.00m,,N/A  
9029,Majin and the Forsaken Kingdom    ,N/A  ,30th Nov 10  ,X360,Namco Bandai  ,Game Republic  ,,0.19m,0.14m,0.03m,0.19m,0.01m,,N/A  
9030,Aliens versus Predator: Extinction    ,N/A  ,30th Jul 03  ,PS2,Electronic Arts  ,Zono Incorporated  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9031,Silent Scope 2: Dark Silhouette    ,N/A  ,18th Sep 01  ,PS2,Konami  ,Konami Computer Entertainment Tokyo  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9032,Dave Mirra Freestyle BMX 2    ,N/A  ,25th Nov 01  ,GBA,Acclaim Entertainment  ,Full Fat  ,,0.19m,0.14m,0.05m,0.19m,0.00m,,N/A  
9033,International Cricket 2010    ,N/A  ,18th Jun 10  ,PS3,Codemasters  ,Trickstar Games  ,,0.19m,,0.15m,0.19m,0.04m,,N/A  
9034,Jikkyou Powerful Pro Yakyuu '96 Kaimakuban    ,N/A  ,19th Jul 96  ,SNES,Konami  ,Diamond Head  ,,0.19m,,,0.19m,0.00m,,N/A  
9035,Mars: War Logs    ,N/A  ,26th Aug 13  ,PC,Focus Home Interactive  ,Unknown  ,0.19m,,,,0.19m,,,N/A  
9036,NHL Hitz Pro    ,N/A  ,25th Sep 03  ,PS2,Midway Games  ,Next Level Games  ,,0.19m,0.09m,0.07m,0.19m,0.02m,,N/A  
9037,Tokimeki Memorial Girl's Side 3rd Story    ,N/A  ,24th Jun 10  ,DS,Konami  ,Konami  ,,0.19m,,,0.19m,,,N/A  
9038,I SPY castle    ,N/A  ,25th Oct 11  ,DS,Scholastic Inc.  ,Scholastic Media  ,,0.19m,0.17m,,0.19m,0.02m,,N/A  
9039,Avatar: The Last Airbender - Into the Inferno    ,N/A  ,13th Oct 08  ,Wii,THQ  ,Halfbrick Studios  ,,0.19m,0.17m,0.01m,0.19m,0.01m,,N/A  
