,console,date,metascore,name,tot_sale,userscore
90,3DS,2014,86.0,Monster Hunter 4 Ultimate,3.89,87.0
91,3DS,2015,58.0,Pokemon Rumble World,0.09,64.0
92,3DS,2011,71.0,PilotWings Resort,0.95,74.0
93,3DS,2013,83.0,Shin Megami Tensei IV,0.58,83.0
94,3DS,2014,58.0,Senran Kagura 2: Deep Crimson ,0.22,68.0
95,3DS,2016,81.0,Zero Escape: Zero Time Dilemma,0.08,85.0
96,3DS,2015,69.0,Code Name: S.T.E.A.M.,0.21,77.0
97,3DS,2015,69.0,Pokemon Super Mystery Dungeon,1.25,88.0
98,3DS,2011,49.0,Madden NFL Football,0.39,53.0
99,3DS,2015,80.0,Hatsune Miku: Project Mirai DX,0.32,85.0
100,3DS,2011,90.0,Super Mario 3D Land,10.81,84.0
101,3DS,2015,89.0,The Legend of Zelda: Majora's Mask 3D,2.34,90.0
102,3DS,2011,59.0,F1 2011,0.16,68.0
103,3DS,2015,90.0,Shovel Knight,0.14,82.0
104,3DS,2011,49.0,Bust-A-Move Universe,0.31,48.0
105,3DS,2014,69.0,Final Fantasy Explorers,0.54,70.0
106,3DS,2012,74.0,Harvest Moon 3D: A New Beginning,0.91,82.0
107,3DS,2016,77.0,Mega Man Legacy Collection,0.21,71.0
108,3DS,2012,81.0,Art Academy: Lessons for Everyone,0.46,76.0
109,3DS,2012,78.0,New Super Mario Bros. 2,9.9,72.0
110,3DS,2011,51.0,Captain America: Super Soldier,0.08,50.0
111,3DS,2011,61.0,Samurai Warriors Chronicles,0.39,77.0
112,3DS,2012,70.0,Project X Zone,0.39,73.0
113,3DS,2012,79.0,Professor Layton vs Phoenix Wright: Ace Attorney,0.8,85.0
114,3DS,2015,79.0,Stella Glow,0.24,87.0
115,3DS,2011,79.0,Dead or Alive: Dimensions,0.45,82.0
116,3DS,2014,64.0,Yoshi's New Island,1.38,61.0
117,3DS,2015,72.0,Return to PopoloCrois: A Story of Seasons Fairytale,0.16,68.0
118,3DS,2013,75.0,One Piece: Unlimited World Red,0.39,76.0
119,3DS,2012,88.0,Animal Crossing: New Leaf,9.16,87.0
120,3DS,2012,75.0,Paper Mario: Sticker Star,2.3,56.0
121,3DS,2014,68.0,Lord of Magna: Maiden Heaven,0.06,78.0
122,3DS,2014,63.0,Samurai Warriors Chronicles 3,0.08,61.0
123,3DS,2011,54.0,Frogger 3D,0.21,55.0
124,3DS,2011,78.0,Shin Megami Tensei: Devil Survivor Overclocked,0.38,82.0
125,3DS,2013,68.0,Batman: Arkham Origins Blackgate,0.27,68.0
126,3DS,2011,62.0,Gabrielle's Ghostly Groove 3D,0.11,74.0
127,3DS,2012,61.0,LEGO The Lord of the Rings,0.39,76.0
128,3DS,2011,53.0,Doctor Lautrec and the Forgotten Knights,0.16,61.0
129,3DS,0,54.0,Dream Trigger 3D,0.07,63.0
130,3DS,2012,78.0,Rune Factory 4,0.57,81.0
131,3DS,2011,44.0,Combat of Giants: Dinosaurs 3D,0.39,53.0
132,3DS,2014,69.0,Ultimate NES Remix,0.27,76.0
133,3DS,2016,68.0,Dragon Ball: Fusions,0.21,76.0
134,3DS,2011,48.0,Driver: Renegade,0.09,50.0
135,3DS,2015,82.0,Shantae and the Pirate's Curse,0.04,85.0
136,3DS,2012,71.0,Brain Age: Concentration Training,0.09,79.0
137,3DS,2014,47.0,Sonic Boom: Shattered Crystal,0.29,63.0
138,3DS,2012,71.0,Crush3D,0.12,74.0
139,3DS,2012,69.0,Heroes of Ruin,0.21,74.0
140,3DS,2011,75.0,BIT.TRIP SAGA,0.14,78.0
141,3DS,2014,83.0,Persona Q: Shadow of the Labyrinth,0.72,81.0
142,3DS,2011,58.0,Cartoon Network: Punch Time Explosion,0.1,59.0
143,3DS,2015,77.0,Etrian Mystery Dungeon,0.24,79.0
144,3DS,2013,62.0,Conception II: Children of the Seven Stars,0.12,77.0
145,3DS,2015,77.0,7th Dragon III Code: VFD,0.17,82.0
146,3DS,2011,85.0,Mario Kart 7,12.66,82.0
