,console,date,metascore,name,tot_sale,userscore
1482,PC,2013,80.0,Company of Heroes 2,0.34,21.0
1483,PC,2010,49.0,Ship Simulator Extremes,0.05,62.0
1484,PC,2010,66.0,Tom Clancy's HAWX 2,0.05,38.0
1485,PC,2009,63.0,15 Days,0.01,58.0
1486,PC,2016,54.0,Homefront: The Revolution,0.04,35.0
1487,PC,2009,87.0,Football Manager 2010,0.07,90.0
1488,PC,2011,74.0,F.E.A.R. 3,0.15,59.0
1489,PC,2013,64.0,SimCity (2013),1.42,22.0
1490,PC,2011,83.0,Anno 2070,1.43,70.0
1491,PC,2010,72.0,Divinity II: Flames of Vengeance,0.03,83.0
1492,PC,2006,80.0,Battlefield 2142,0.03,68.0
1493,PC,2011,65.0,Air Conflicts: Secret Wars,0.03,64.0
1494,PC,2008,72.0,Bully: Scholarship Edition,0.03,75.0
1495,PC,2010,63.0,Lost Planet 2,0.03,63.0
1496,PC,2015,81.0,FIFA 16,0.2,44.0
1497,PC,2008,73.0,X3: Terran Conflict,0.03,79.0
1498,PC,2008,65.0,Turok,0.01,65.0
1499,PC,2013,62.0,Contrast,0.01,77.0
1500,PC,2011,76.0,Two Worlds II,0.2,65.0
1501,PC,2005,85.0,SWAT 4,0.03,86.0
1502,PC,2016,72.0,Valentino Rossi: The Game,0.01,62.0
1503,PC,2011,70.0,Sengoku,0.01,68.0
1504,PC,2000,88.0,Diablo II,0.13,88.0
1505,PC,2011,74.0,"Warhammer 40,000: Space Marine",0.2,74.0
1506,PC,2013,64.0,Defiance,0.21,65.0
1507,PC,2006,84.0,Guild Wars: Factions,0.01,85.0
1508,PC,2016,90.0,NBA 2K17,0.01,63.0
1509,PC,2004,84.0,Battlefield Vietnam,0.03,75.0
1510,PC,2007,62.0,Ship Simulator 2008,0.01,66.0
1511,PC,2010,83.0,Age of Conan: Rise of the Godslayer,0.03,84.0
1512,PC,2011,51.0,Call of Juarez: The Cartel,0.11,33.0
1513,PC,2015,70.0,Batman: Arkham Knight,0.13,25.0
1514,PC,2003,86.0,Max Payne 2: The Fall of Max Payne,0.03,90.0
1515,PC,2011,74.0,Magicka,0.03,76.0
1516,PC,2006,84.0,Guild Wars: Nightfall,0.03,87.0
1517,PC,2003,69.0,EVE Online,0.2,75.0
1518,PC,2008,70.0,MySims,0.03,64.0
1519,PC,2007,74.0,The Sims 2: Bon Voyage,0.03,73.0
1520,PC,2009,46.0,Star Wars The Clone Wars: Republic Heroes,0.03,47.0
1521,PC,2002,89.0,Battlefield 1942,0.03,86.0
1522,PC,2006,73.0,Warhammer: Mark of Chaos,0.03,74.0
1523,PC,2012,54.0,Captain Morgane and the Golden Turtle,0.03,62.0
1524,PC,2005,80.0,Dungeon Siege II,0.03,79.0
1525,PC,2002,75.0,The Sims: Vacation,3.07,78.0
1526,PC,2006,71.0,ParaWorld,0.02,83.0
1527,PC,0,72.0,Test Drive Unlimited 2,0.19,57.0
1528,PC,2010,68.0,Aliens vs Predator,0.19,74.0
1529,PC,2009,76.0,Demigod,0.02,79.0
1530,PC,2008,45.0,Stronghold Crusader Extreme,0.02,68.0
1531,PC,0,78.0,Dead Space 3,0.19,60.0
1532,PC,1996,94.0,Diablo,1.59,87.0
1533,PC,2014,70.0,The Sims 4,3.05,39.0
1534,PC,2007,77.0,FIFA Soccer 08,0.02,61.0
1535,PC,2007,63.0,SimCity Societies,0.02,43.0
1536,PC,2010,66.0,Star Trek Online,0.02,62.0
1537,PC,2010,77.0,Lost Horizon,0.11,79.0
1538,PC,0,81.0,Call of Duty: Black Ops,1.63,52.0
1539,PC,2010,70.0,Cities XL 2011,0.02,57.0
1540,PC,2007,66.0,The Settlers: Rise of an Empire,0.02,77.0
1541,PC,2008,86.0,Warhammer Online: Age of Reckoning,0.02,79.0
1542,PC,2003,72.0,Jurassic Park: Operation Genesis,0.02,87.0
1543,PC,2008,63.0,Imperium Romanum,0.02,75.0
1544,PC,2009,74.0,Battlestations: Pacific,0.03,84.0
1545,PC,2004,75.0,Evil Genius,0.02,83.0
1546,PC,2011,84.0,Football Manager 2012,1.51,80.0
1547,PC,2010,55.0,Sniper: Ghost Warrior,0.16,55.0
1548,PC,2014,78.0,GRID Autosport,0.02,62.0
1549,PC,2009,57.0,The Lord of the Rings: Conquest,0.02,67.0
1550,PC,2012,74.0,Call of Duty: Black Ops II,1.53,42.0
1551,PC,0,91.0,Street Fighter IV,0.13,80.0
1552,PC,2015,86.0,Final Fantasy XIV: Heavensward,0.02,77.0
1553,PC,2013,66.0,DuckTales: Remastered,0.02,76.0
1554,PC,2007,78.0,Viva Pinata,0.02,78.0
1555,PC,2003,88.0,Warcraft III: The Frozen Throne,1.54,90.0
1556,PC,2006,82.0,Neverwinter Nights 2,0.02,65.0
1557,PC,2006,75.0,Star Wars: Empire at War - Forces of Corruption,0.02,86.0
1558,PC,2015,75.0,Dying Light,0.2,79.0
1559,PC,2016,66.0,Quantum Break,0.02,43.0
1560,PC,2013,81.0,Battlefield 4,1.35,60.0
1561,PC,2001,74.0,Cossacks: European Wars,0.03,86.0
1562,PC,1992,85.0,Doom,0.03,82.0
1563,PC,2012,76.0,[Prototype 2],0.11,64.0
1564,PC,2011,80.0,Dead Island,0.22,68.0
1565,PC,1988,64.0,SimCity,0.03,22.0
1566,PC,2009,64.0,Harry Potter and the Half-Blood Prince,0.03,61.0
1567,PC,2011,77.0,Sonic Generations,0.11,83.0
1568,PC,2010,59.0,Star Wars: The Force Unleashed II,0.03,58.0
1569,PC,2012,59.0,Doom 3 BFG Edition,0.03,53.0
1570,PC,2016,56.0,The Technomancer,0.01,68.0
1571,PC,2012,79.0,Euro Truck Simulator 2,0.13,87.0
1572,PC,2010,83.0,Darksiders,0.15,78.0
1573,PC,2002,74.0,RollerCoaster Tycoon 2,1.25,85.0
1574,PC,2002,93.0,Grand Theft Auto III,0.01,84.0
1575,PC,2010,85.0,Football Manager 2011,1.26,84.0
1576,PC,2009,82.0,Football Manager Live,0.01,31.0
1577,PC,2009,67.0,Codename: Panzers Cold War,0.03,58.0
1578,PC,2005,79.0,Empire Earth II,0.03,71.0
1579,PC,2002,72.0,Impossible Creatures,0.01,80.0
1580,PC,2015,96.0,Grand Theft Auto V,1.17,79.0
1581,PC,2003,76.0,Lock On: Modern Air Combat,0.03,75.0
1582,PC,2005,74.0,Serious Sam II,0.01,70.0
1583,PC,2013,74.0,ArmA III,0.11,74.0
1584,PC,2005,89.0,Guild Wars,0.03,84.0
1585,PC,2011,70.0,Take On Helicopters,0.03,67.0
1586,PC,2015,72.0,The Sims 4: Get Together,0.22,73.0
1587,PC,2003,83.0,Homeworld 2,0.03,83.0
1588,PC,0,80.0,LEGO Harry Potter: Years 5-7,0.22,85.0
1589,PC,2003,74.0,Rayman 3: Hoodlum Havoc,0.03,83.0
1590,PC,1997,96.0,Half-Life,4.12,91.0
1591,PC,2007,91.0,World of Warcraft: The Burning Crusade,4.09,79.0
1592,PC,2004,77.0,Knights of Honor,0.03,91.0
1593,PC,2012,80.0,LEGO The Lord of the Rings,0.22,82.0
1594,PC,2013,72.0,The Inner World,0.03,81.0
1595,PC,2015,65.0,War for the Overworld,0.01,77.0
1596,PC,2001,81.0,Stronghold,0.11,89.0
1597,PC,2008,83.0,GTR Evolution,0.03,82.0
1598,PC,2014,73.0,Lords of the Fallen,0.03,69.0
1599,PC,2008,69.0,Jack Keane,0.03,70.0
1600,PC,2016,86.0,Total War: WARHAMMER,0.13,73.0
1601,PC,2009,63.0,Monsters vs. Aliens,0.03,62.0
1602,PC,2015,68.0,Ride,0.03,48.0
1603,PC,2011,86.0,DiRT 3,0.15,69.0
1604,PC,2008,91.0,World of Warcraft: Wrath of the Lich King,1.32,75.0
1605,PC,2002,82.0,Syberia,0.03,85.0
1606,PC,0,69.0,Battle vs. Chess,0.03,59.0
1607,PC,2012,81.0,Darksiders II,0.15,78.0
1608,PC,2016,46.0,Bus Simulator 16,0.03,61.0
1609,PC,2006,72.0,Call of Juarez,0.01,78.0
1610,PC,2009,66.0,The Last Remnant,0.01,83.0
1611,PC,2005,80.0,Codename: Panzers Phase Two,0.01,81.0
1612,PC,2012,82.0,Botanicula,0.03,83.0
1613,PC,2010,79.0,LEGO Harry Potter: Years 1-4,0.03,79.0
1614,PC,2009,90.0,Braid,0.03,86.0
1615,PC,2002,86.0,Unreal Tournament 2003,0.01,82.0
1616,PC,2015,74.0,Assassin's Creed Syndicate,0.21,59.0
1617,PC,2008,87.0,Sins of a Solar Empire,0.03,82.0
1618,PC,2012,90.0,NBA 2K13,0.03,68.0
1619,PC,2011,94.0,The Elder Scrolls V: Skyrim,3.88,81.0
1620,PC,2007,76.0,Resident Evil 4,0.03,74.0
1621,PC,2005,76.0,The Sims 2: Nightlife,1.27,66.0
1622,PC,2002,92.0,Warcraft III: Reign of Chaos,0.13,91.0
1623,PC,2008,70.0,007: Quantum of Solace,0.03,63.0
1624,PC,2006,58.0,Rayman Raving Rabbids,0.01,76.0
1625,PC,2002,79.0,The Sims: Unleashed,3.76,80.0
1626,PC,2010,68.0,Commander: Conquest of the Americas,0.03,52.0
1627,PC,2007,82.0,Neverwinter Nights 2: Mask of the Betrayer,0.01,88.0
1628,PC,2011,73.0,LEGO Pirates of the Caribbean: The Video Game,0.03,66.0
1629,PC,2009,85.0,Machinarium,0.11,88.0
1630,PC,2015,84.0,Fallout 4,1.29,54.0
1631,PC,2008,62.0,NHL 09,0.02,41.0
1632,PC,2004,72.0,Star Wars: Battlefront,0.21,35.0
1633,PC,2010,84.0,Fallout: New Vegas,1.17,86.0
1634,PC,2016,63.0,Mafia III,0.19,32.0
1635,PC,2014,82.0,Wildstar,0.16,74.0
1636,PC,2007,62.0,Spider-Man 3,0.02,71.0
1637,PC,2008,52.0,Spider-Man: Web of Shadows,0.02,78.0
1638,PC,2009,67.0,East India Company,0.02,57.0
1639,PC,2005,94.0,Sid Meier's Civilization IV,0.16,83.0
1640,PC,2008,85.0,The Lord of the Rings Online: Mines of Moria,0.02,82.0
1641,PC,2016,74.0,Far Cry: Primal,0.16,48.0
1642,PC,2009,55.0,SAW,0.02,60.0
1643,PC,2009,39.0,Raven Squad: Operation Hidden Dagger,0.02,31.0
1644,PC,2004,81.0,Painkiller,0.02,81.0
1645,PC,2016,43.0,RollerCoaster Tycoon World,0.02,24.0
1646,PC,2012,67.0,Oil Rush,0.02,65.0
1647,PC,2006,82.0,Tomb Raider: Legend,0.02,79.0
1648,PC,2014,91.0,Dark Souls II,0.17,71.0
1649,PC,2010,90.0,World of Warcraft: Cataclysm,2.08,56.0
1650,PC,2009,42.0,Stormrise,0.02,49.0
1651,PC,2011,70.0,Brink,0.18,60.0
1652,PC,2009,81.0,Borderlands,0.18,78.0
1653,PC,2010,83.0,FIFA Soccer 11,0.18,77.0
1654,PC,2008,83.0,Call of Duty: World at War,0.18,75.0
1655,PC,2011,47.0,Stronghold 3,0.16,30.0
1656,PC,2008,77.0,FIFA Soccer 09,0.02,68.0
1657,PC,2005,81.0,Quake 4,0.02,76.0
1658,PC,2001,89.0,Max Payne,0.02,91.0
1659,PC,2016,86.0,Dishonored 2,0.12,60.0
1660,PC,2003,80.0,The Sims: Makin' Magic,1.92,86.0
1661,PC,1998,93.0,Homeworld,0.02,90.0
1662,PC,2016,86.0,Rise of the Tomb Raider,0.12,79.0
1663,PC,2009,69.0,Order of War,0.02,73.0
1664,PC,2002,59.0,Maximum Capacity: Hotel Giant,0.02,77.0
1665,PC,2007,57.0,Legend: Hand of God,0.02,58.0
1666,PC,2014,57.0,Sacred 3,0.02,14.0
1667,PC,2016,69.0,Pro Evolution Soccer 2017,0.02,37.0
1668,PC,2013,45.0,Aliens: Colonial Marines,0.18,35.0
1669,PC,2002,69.0,Combat Flight Simulator 3: Battle for Europe,0.02,65.0
1670,PC,2006,84.0,The Lord of the Rings: The Battle for Middle-Earth II,0.02,75.0
1671,PC,2016,66.0,Agatha Christie: The ABC Murders,0.02,85.0
1672,PC,2009,67.0,Still Life 2,0.02,57.0
1673,PC,2012,71.0,Tom Clancy's Ghost Recon: Future Soldier,0.17,49.0
1674,PC,2007,79.0,Guitar Hero III: Legends of Rock,0.02,72.0
1675,PC,2005,46.0,Starship Troopers,0.02,61.0
1676,PC,2010,63.0,James Bond 007: Blood Stone,0.02,71.0
1677,PC,0,78.0,Rocksmith,0.12,81.0
1678,PC,2003,72.0,Commandos 3: Destination Berlin,0.02,76.0
1679,PC,2003,74.0,Vietcong,0.02,87.0
1680,PC,2008,50.0,Legendary,0.02,66.0
1681,PC,2014,89.0,Pillars of Eternity,0.02,83.0
1682,PC,2006,67.0,Tycoon City: New York,0.02,83.0
1683,PC,2009,63.0,WorldShift,0.02,81.0
1684,PC,2012,81.0,Sleeping Dogs,0.12,82.0
1685,PC,2005,78.0,Star Wars: Battlefront II,0.17,88.0
1686,PC,2012,90.0,Guild Wars 2,2.31,79.0
1687,PC,2005,76.0,Heroes of the Pacific,0.02,67.0
1688,PC,2004,96.0,Half-Life 2,2.37,91.0
1689,PC,2013,78.0,LEGO Marvel Super Heroes,0.17,81.0
1690,PC,2011,50.0,Trapped Dead,0.02,47.0
1691,PC,2014,73.0,Lara Croft and the Temple of Osiris,0.02,54.0
1692,PC,2015,83.0,Project CARS,0.13,71.0
1693,PC,2006,65.0,Blazing Angels: Squadrons of WWII,0.02,46.0
1694,PC,2007,70.0,Hellgate: London,0.02,63.0
1695,PC,2011,72.0,Dungeon Siege III,0.17,47.0
1696,PC,2001,74.0,The Sims: House Party,2.16,79.0
1697,PC,2010,73.0,Blood Bowl: Legendary Edition,0.02,64.0
1698,PC,2006,84.0,TOCA Race Driver 3,0.02,78.0
1699,PC,2012,74.0,The Secret World,0.17,82.0
1700,PC,2003,79.0,Uru: Ages Beyond Myst,0.02,76.0
1701,PC,2012,72.0,Ridge Racer Unbounded,0.02,60.0
1702,PC,2010,84.0,Just Cause 2,0.12,77.0
1703,PC,2009,74.0,Mini Ninjas,0.02,83.0
1704,PC,2008,84.0,Crysis: Warhead,0.02,79.0
1705,PC,2009,71.0,Elven Legacy,0.02,71.0
1706,PC,2008,76.0,Peggle Nights,0.02,81.0
1707,PC,2004,83.0,Colin McRae Rally 2005,0.02,71.0
1708,PC,2011,72.0,Dungeons - The Dark Lord,0.02,56.0
1709,PC,2007,81.0,Overlord,0.02,81.0
1710,PC,2003,79.0,The Sims: Superstar,1.68,82.0
1711,PC,2010,90.0,Sid Meier's Civilization V,1.68,79.0
1712,PC,2008,75.0,A Vampyre Story,0.02,85.0
1713,PC,2012,73.0,The Sims 3: Seasons,0.16,75.0
1714,PC,2004,80.0,Syberia II,0.02,83.0
1715,PC,2010,74.0,The Sims 3: Late Night Expansion Pack,1.7,53.0
1716,PC,2010,82.0,NBA 2K11,0.19,86.0
1717,PC,2006,56.0,Star Trek: Legacy,0.02,40.0
1718,PC,2014,71.0,The Crew,0.16,64.0
1719,PC,2013,82.0,Metro: Last Light,0.19,86.0
1720,PC,2015,77.0,Evolve,0.19,43.0
1721,PC,2005,84.0,GT Legends,0.02,86.0
1722,PC,2012,79.0,Street Fighter X Tekken,0.02,64.0
1723,PC,2011,78.0,Call of Duty: Modern Warfare 3,1.72,25.0
1724,PC,2006,86.0,LEGO Star Wars II: The Original Trilogy,0.02,82.0
1725,PC,2014,85.0,South Park: The Stick of Truth,0.19,86.0
1726,PC,2011,86.0,NBA 2K12,0.16,71.0
1727,PC,2013,86.0,StarCraft II: Heart of the Swarm,1.67,79.0
1728,PC,2008,78.0,Tom Clancy's Rainbow Six: Vegas 2,0.02,73.0
1729,PC,2007,84.0,Enemy Territory: Quake Wars,0.02,83.0
1730,PC,2010,70.0,Achtung Panzer: Kharkov 1943,0.02,83.0
1731,PC,2012,78.0,Tropico 4: Modern Times,0.02,80.0
1732,PC,2008,79.0,Brothers in Arms: Hell's Highway,0.02,79.0
1733,PC,2005,76.0,Sniper Elite,0.02,80.0
1734,PC,2007,84.0,DiRT,0.02,73.0
1735,PC,2003,86.0,IL-2 Sturmovik: Forgotten Battles,0.02,86.0
1736,PC,2011,82.0,Bulletstorm,0.16,77.0
1737,PC,2000,82.0,The Sims: Livin Large,2.99,66.0
1738,PC,2009,73.0,Ceville,0.02,82.0
1739,PC,2010,77.0,Supreme Commander 2,0.19,62.0
1740,PC,2005,90.0,Falcon 4.0: Allied Force,0.02,86.0
1741,PC,2011,85.0,Star Wars: The Old Republic,2.96,59.0
1742,PC,2011,65.0,Darkspore,0.12,60.0
1743,PC,2016,84.0,FIFA 17,0.12,42.0
1744,PC,2014,87.0,Divinity: Original Sin,0.02,87.0
1745,PC,2008,71.0,Kung Fu Panda,0.02,78.0
1746,PC,2009,68.0,Tom Clancy's EndWar,0.02,67.0
1747,PC,2009,67.0,Fuel,0.02,67.0
1748,PC,2011,89.0,Battlefield 3,2.78,75.0
1749,PC,2011,81.0,Dungeon Defenders,0.02,73.0
1750,PC,2008,52.0,Lost: Via Domus,0.02,60.0
1751,PC,2001,85.0,The Sims: Hot Date,1.82,79.0
1752,PC,2012,82.0,World of Warcraft: Mists of Pandaria,1.82,48.0
1753,PC,2011,66.0,The Lord of the Rings: War in the North,0.19,71.0
1754,PC,1999,91.0,The Longest Journey,0.02,89.0
1755,PC,2011,51.0,The Haunted: Hell's Reach,0.02,76.0
1756,PC,2006,75.0,Just Cause,0.02,73.0
1757,PC,2011,80.0,Driver: San Francisco,0.18,70.0
1758,PC,2008,76.0,Pirates of the Burning Sea,0.02,76.0
1759,PC,2004,93.0,Unreal Tournament 2004,0.02,89.0
1760,PC,2005,85.0,Indigo Prophecy,0.02,83.0
1761,PC,2010,56.0,Disciples III: Renaissance,0.02,54.0
1762,PC,2011,75.0,Alice: Madness Returns,0.12,84.0
1763,PC,2010,57.0,Dark Void,0.02,51.0
1764,PC,2008,89.0,Left 4 Dead,0.02,92.0
1765,PC,2009,72.0,Majesty 2: The Fantasy Kingdom Sim,0.02,73.0
1766,PC,2014,75.0,Tropico 5,0.12,70.0
1767,PC,2014,78.0,Plants vs. Zombies: Garden Warfare,0.02,78.0
1768,PC,2013,82.0,Tom Clancy's Splinter Cell: Blacklist,0.19,74.0
1769,PC,2007,79.0,Test Drive Unlimited,0.02,81.0
1770,PC,2008,58.0,Wall-E,0.02,68.0
1771,PC,2003,71.0,Post Mortem,0.02,80.0
1772,PC,2007,87.0,Gears of War,0.02,78.0
1773,PC,2009,36.0,Grey's Anatomy: The Video Game,0.02,39.0
1774,PC,2011,83.0,F1 2011,0.19,72.0
1775,PC,2001,75.0,Worms World Party,0.02,76.0
1776,PC,2006,57.0,Stronghold Legends,0.02,72.0
1777,PC,2012,62.0,F1 Race Stars,0.02,54.0
1778,PC,2013,86.0,Saints Row IV,0.19,74.0
1779,PC,2010,63.0,Arcania: Gothic 4,0.19,44.0
1780,PC,2008,73.0,Frontlines: Fuel of War,0.02,69.0
1781,PC,2012,69.0,Risen 2: Dark Waters,0.22,56.0
1782,PC,2015,74.0,The Crew: Wild Run,0.02,74.0
1783,PC,2012,74.0,Deponia,0.15,82.0
1784,PC,2008,79.0,FlatOut: Ultimate Carnage,0.01,77.0
1785,PC,2007,76.0,Battlestations: Midway,0.01,73.0
1786,PC,2009,70.0,The Whispered World,0.1,76.0
1787,PC,2006,82.0,Hitman: Blood Money,0.03,88.0
1788,PC,2016,72.0,Cities: Skylines Snowfall,0.01,71.0
1789,PC,2006,71.0,DarkStar One,0.03,72.0
1790,PC,2004,93.0,World of Warcraft,6.29,73.0
1791,PC,1996,86.0,Tomb Raider,1.03,85.0
1792,PC,2008,58.0,Hotel Giant 2,0.03,25.0
1793,PC,2011,55.0,The Cursed Crusade,0.03,60.0
1794,PC,2012,79.0,Hitman: Absolution,0.24,70.0
1795,PC,2013,75.0,The Night of the Rabbit,0.03,75.0
1796,PC,2015,74.0,Just Cause 3,0.14,53.0
1797,PC,2011,76.0,Red Orchestra 2: Heroes of Stalingrad,0.14,73.0
1798,PC,2016,64.0,Pro Cycling Manager 2016,0.03,48.0
1799,PC,2016,88.0,Sid Meier's Civilization VI,0.25,73.0
1800,PC,0,59.0,Inversion,0.01,67.0
1801,PC,2007,89.0,World in Conflict,0.04,81.0
1802,PC,2008,75.0,S.T.A.L.K.E.R.: Clear Sky,0.04,77.0
1803,PC,2015,71.0,Act of Aggression,0.01,71.0
1804,PC,2003,80.0,Railroad Tycoon 3,0.04,77.0
1805,PC,2009,64.0,Secret Files 2: Puritas Cordis,0.04,71.0
1806,PC,2008,90.0,World of Goo,0.04,85.0
1807,PC,2016,79.0,TrackMania Turbo,0.01,68.0
1808,PC,2016,70.0,Transport Fever,0.04,70.0
1809,PC,2011,84.0,Trine 2,0.04,84.0
1810,PC,2007,83.0,Tomb Raider: Anniversary,0.03,81.0
1811,PC,2009,72.0,Section 8,0.03,70.0
1812,PC,2010,72.0,Alpha Protocol,0.03,75.0
1813,PC,2014,81.0,Alien: Isolation,0.14,84.0
1814,PC,2016,83.0,Deus Ex: Mankind Divided,0.03,61.0
1815,PC,2012,88.0,Diablo III,5.14,40.0
1816,PC,2011,72.0,DC Universe Online,0.23,68.0
1817,PC,2009,82.0,Red Faction: Guerrilla,0.03,75.0
1818,PC,2009,78.0,Call of Juarez: Bound in Blood,0.03,80.0
1819,PC,2013,74.0,Pro Evolution Soccer 2014,0.1,44.0
1820,PC,2000,90.0,Deus Ex,0.01,93.0
1821,PC,2010,64.0,Apache: Air Assault,0.03,75.0
1822,PC,2011,83.0,Terraria,0.14,85.0
1823,PC,2004,91.0,Tiger Woods PGA Tour 2005,0.01,45.0
1824,PC,2009,90.0,Empire: Total War,1.08,69.0
1825,PC,2007,71.0,TimeShift,0.01,76.0
1826,PC,2004,92.0,Rome: Total War,0.1,91.0
1827,PC,2010,81.0,Metro 2033,0.24,81.0
1828,PC,2006,84.0,Rise of Nations: Rise of Legends,0.03,85.0
1829,PC,2011,63.0,Supreme Ruler: Cold War,0.03,68.0
1830,PC,2004,87.0,Doom 3,0.1,76.0
1831,PC,2009,80.0,The Chronicles of Riddick: Assault on Dark Athena,0.01,80.0
1832,PC,2008,77.0,The Void,0.03,83.0
1833,PC,2001,87.0,Diablo II: Lord of Destruction,1.06,91.0
1834,PC,2016,77.0,The Sims 4: City Living,0.1,57.0
1835,PC,2008,58.0,Conflict: Denied Ops,0.01,48.0
1836,PC,2015,80.0,Total War: Attila,0.24,73.0
1837,PC,0,88.0,BioShock 2,0.24,80.0
1838,PC,2011,70.0,Homefront,0.24,55.0
1839,PC,2003,81.0,Star Wars Jedi Knight: Jedi Academy,0.03,86.0
1840,PC,1998,91.0,Planescape: Torment,0.03,92.0
1841,PC,2009,72.0,Saints Row 2,0.04,68.0
1842,PC,2016,73.0,Call of Duty: Infinite Warfare,0.14,30.0
1843,PC,2007,61.0,Juiced 2: Hot Import Nights,0.01,50.0
1844,PC,2011,83.0,L.A. Noire: The Complete Edition,0.25,79.0
1845,PC,2007,74.0,Sega Rally Revo,0.01,76.0
1846,PC,2003,83.0,Halo: Combat Evolved,0.04,74.0
1847,PC,2010,78.0,Dead Rising 2,0.14,63.0
1848,PC,2014,58.0,Castlevania: Lords of Shadow 2,0.04,77.0
1849,PC,2009,82.0,King's Bounty: Armored Princess,0.01,86.0
1850,PC,2013,61.0,Lost Planet 3,0.04,62.0
1851,PC,2014,61.0,F1 2014,0.1,48.0
1852,PC,2012,80.0,Assassin's Creed III,0.93,62.0
1853,PC,2012,89.0,Borderlands 2,0.93,82.0
1854,PC,2012,78.0,Transformers: Fall of Cybertron,0.01,79.0
1855,PC,2015,71.0,Battlefield: Hardline,0.14,38.0
1856,PC,2003,70.0,Legacy of Kain: Defiance,0.01,87.0
1857,PC,2007,81.0,Supreme Commander: Forged Alliance,0.04,89.0
1858,PC,2005,84.0,The Movies,0.04,83.0
1859,PC,2015,72.0,LEGO Jurassic World,0.04,71.0
1860,PC,2009,77.0,Risen,0.14,81.0
1861,PC,2011,60.0,Off-Road Drive,0.04,64.0
1862,PC,2009,80.0,Trine,0.01,82.0
1863,PC,2007,51.0,Hospital Tycoon,0.01,38.0
1864,PC,2011,48.0,JASF: Jane's Advanced Strike Fighters,0.04,31.0
1865,PC,2012,48.0,Resident Evil: Operation Raccoon City,0.04,38.0
1866,PC,2007,50.0,Empire Earth III,0.04,28.0
1867,PC,2010,47.0,CSI: Fatal Conspiracy,0.04,55.0
1868,PC,2014,80.0,Metal Gear Solid V: Ground Zeroes,0.01,76.0
1869,PC,2011,61.0,Breach,0.01,58.0
1870,PC,2003,94.0,Grand Theft Auto: Vice City,0.04,88.0
1871,PC,2014,71.0,The Elder Scrolls Online,0.9,57.0
1872,PC,2003,93.0,Star Wars: Knights of the Old Republic,0.14,90.0
1873,PC,2010,75.0,Prince of Persia: The Forgotten Sands,0.03,66.0
1874,PC,2008,58.0,Madagascar: Escape 2 Africa,0.01,80.0
1875,PC,2007,63.0,Clive Barker's Jericho,0.01,75.0
1876,PC,2004,67.0,Harry Potter and the Prisoner of Azkaban,0.04,72.0
1877,PC,2010,37.0,Harry Potter and the Deathly Hallows - Part 1,0.1,41.0
1878,PC,2013,76.0,Need for Speed Rivals,0.25,33.0
1879,PC,2008,91.0,Fallout 3,0.98,79.0
1880,PC,2006,73.0,Scarface: The World is Yours,0.04,75.0
1881,PC,2005,93.0,Grand Theft Auto: San Andreas,0.97,89.0
1882,PC,2007,63.0,Harry Potter and the Order of the Phoenix,0.04,71.0
1883,PC,2015,72.0,Anno 2205,0.25,59.0
1884,PC,2012,89.0,Mass Effect 3,0.97,55.0
1885,PC,2009,86.0,The Sims 3,8.01,76.0
1886,PC,2009,77.0,ArmA II,0.14,75.0
1887,PC,2015,85.0,Cities: Skylines,0.14,89.0
1888,PC,2011,56.0,APB Reloaded,0.04,57.0
1889,PC,2016,78.0,Ride 2,0.01,79.0
1890,PC,2004,87.0,Colin McRae Rally 04,0.01,72.0
1891,PC,2012,88.0,Far Cry 3,0.96,82.0
1892,PC,2011,76.0,LEGO Star Wars III: The Clone Wars,0.25,75.0
1893,PC,2002,83.0,Icewind Dale II,0.01,83.0
1894,PC,2012,65.0,Farming Simulator 2013,0.96,75.0
1895,PC,2009,78.0,Pro Evolution Soccer 2010,0.01,69.0
1896,PC,2006,74.0,Caesar IV,0.04,76.0
1897,PC,2011,88.0,The Witcher 2: Assassins of Kings,0.96,85.0
1898,PC,2010,62.0,Silent Hunter 5: Battle of the Atlantic,0.25,35.0
1899,PC,2011,43.0,Harry Potter and the Deathly Hallows - Part 2,0.1,50.0
1900,PC,2007,96.0,The Orange Box,0.14,93.0
1901,PC,2008,55.0,Alone in the Dark,0.01,57.0
1902,PC,2011,66.0,Worms: Ultimate Mayhem,0.04,78.0
1903,PC,2006,94.0,The Elder Scrolls IV: Oblivion,0.25,81.0
1904,PC,2009,73.0,RACE On,0.03,82.0
1905,PC,2011,53.0,A Game of Thrones: Genesis,0.03,40.0
1906,PC,2014,80.0,Trials Fusion,0.03,68.0
1907,PC,2015,74.0,Transformers: Devastation,0.03,76.0
1908,PC,2010,83.0,Tom Clancy's Splinter Cell: Conviction,0.11,52.0
1909,PC,2002,77.0,Harry Potter and the Chamber of Secrets,0.01,84.0
1910,PC,2010,93.0,StarCraft II: Wings of Liberty,4.84,82.0
1911,PC,1985,59.0,Alter Ego,0.03,58.0
1912,PC,2009,82.0,The Book of Unwritten Tales,0.1,82.0
1913,PC,2007,66.0,Theatre Of War,0.01,62.0
1914,PC,2007,92.0,Call of Duty 4: Modern Warfare,1.15,85.0
1915,PC,2015,79.0,Tom Clancy's Rainbow Six: Siege,0.23,69.0
1916,PC,2006,82.0,Marvel: Ultimate Alliance,0.01,80.0
1917,PC,2007,62.0,Combat Mission: Shock Force,0.03,33.0
